,Unnamed: 0,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Latitude,Longitude,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group
0,0,A. Morin,Agua Grande,1876,2016,0.63,France,3.75,Sao Tome,46.6,2.21,144,somewhat common,Light Amount
1,1,A. Morin,Kpime,1676,2015,0.7,France,2.75,Togo,46.6,2.21,144,somewhat common,Average Amount
2,2,A. Morin,Atsane,1676,2015,0.7,France,3.0,Togo,46.6,2.21,144,somewhat common,Average Amount
3,3,A. Morin,Akata,1680,2015,0.7,France,3.5,Togo,46.6,2.21,144,somewhat common,Average Amount
4,4,A. Morin,Quilla,1704,2015,0.7,France,3.5,Peru,46.6,2.21,144,somewhat common,Average Amount
5,5,A. Morin,Carenero,1315,2014,0.7,France,2.75,Venezuela,46.6,2.21,144,somewhat common,Average Amount
6,6,A. Morin,Cuba,1315,2014,0.7,France,3.5,Cuba,46.6,2.21,144,somewhat common,Average Amount
7,7,A. Morin,Sur del Lago,1315,2014,0.7,France,3.5,Venezuela,46.6,2.21,144,somewhat common,Average Amount
8,8,A. Morin,Puerto Cabello,1319,2014,0.7,France,3.75,Venezuela,46.6,2.21,144,somewhat common,Average Amount
9,9,A. Morin,Pablino,1319,2014,0.7,France,4.0,Peru,46.6,2.21,144,somewhat common,Average Amount
10,10,A. Morin,Panama,1011,2013,0.7,France,2.75,Panama,46.6,2.21,144,somewhat common,Average Amount
11,11,A. Morin,Madagascar,1011,2013,0.7,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount
12,12,A. Morin,Brazil,1011,2013,0.7,France,3.25,Brazil,46.6,2.21,144,somewhat common,Average Amount
13,13,A. Morin,Equateur,1011,2013,0.7,France,3.75,Ecuador,46.6,2.21,144,somewhat common,Average Amount
14,14,A. Morin,Colombie,1015,2013,0.7,France,2.75,Colombia,46.6,2.21,144,somewhat common,Average Amount
15,15,A. Morin,Birmanie,1015,2013,0.7,France,3.0,Burma,46.6,2.21,144,somewhat common,Average Amount
16,16,A. Morin,Papua New Guinea,1015,2013,0.7,France,3.25,Papua New Guinea,46.6,2.21,144,somewhat common,Average Amount
17,17,A. Morin,Chuao,1015,2013,0.7,France,4.0,Venezuela,46.6,2.21,144,somewhat common,Average Amount
18,18,A. Morin,Piura,1019,2013,0.7,France,3.25,Peru,46.6,2.21,144,somewhat common,Average Amount
19,19,A. Morin,Chanchamayo Province,1019,2013,0.7,France,3.5,Peru,46.6,2.21,144,somewhat common,Average Amount
20,20,A. Morin,Chanchamayo Province,1019,2013,0.63,France,4.0,Peru,46.6,2.21,144,somewhat common,Light Amount
21,21,A. Morin,Bolivia,797,2012,0.7,France,3.5,Bolivia,46.6,2.21,144,somewhat common,Average Amount
22,22,A. Morin,Peru,797,2012,0.63,France,3.75,Peru,46.6,2.21,144,somewhat common,Light Amount
23,23,Acalli,"Chulucanas, El Platanal",1462,2015,0.7,U.S.A.,3.75,Peru,37.09,-95.71,738,most common,Average Amount
24,24,Acalli,"Tumbes, Norandino",1470,2015,0.7,U.S.A.,3.75,Peru,37.09,-95.71,738,most common,Average Amount
25,25,Adi,Vanua Levu,705,2011,0.6,Fiji,2.75,Fiji,-17.71,179.41,4,extra rare,Light Amount
26,26,Adi,"Vanua Levu, Toto-A",705,2011,0.8,Fiji,3.25,Fiji,-17.71,179.41,4,extra rare,High Amount
27,27,Adi,Vanua Levu,705,2011,0.88,Fiji,3.5,Fiji,-17.71,179.41,4,extra rare,High Amount
28,28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,0.72,Fiji,3.5,Fiji,-17.71,179.41,4,extra rare,Average Amount
29,29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.55,Ecuador,2.75,Ecuador,-1.83,-78.18,54,rare,Light Amount
30,30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.7,Ecuador,3.0,Ecuador,-1.83,-78.18,54,rare,Average Amount
31,31,Ah Cacao,Tabasco,316,2009,0.7,Mexico,3.0,Mexico,23.63,-102.55,4,extra rare,Average Amount
32,32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Indonesia,46.82,8.23,35,rare,Average Amount
33,33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Madagascar,46.82,8.23,35,rare,Average Amount
34,34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,Switzerland,2.75,Brazil,46.82,8.23,35,rare,Average Amount
35,35,Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinidad,46.6,2.21,144,somewhat common,Average Amount
36,36,Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Vietnam,46.6,2.21,144,somewhat common,Average Amount
37,37,Alain Ducasse,Madagascar,1215,2014,0.75,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount
38,38,Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Venezuela,46.6,2.21,144,somewhat common,Average Amount
39,39,Alain Ducasse,"Piura, Perou",1173,2013,0.75,France,2.5,Peru,46.6,2.21,144,somewhat common,Average Amount
40,40,Alexandre,"Winak Coop, Napo",1944,2017,0.7,Netherlands,3.5,Ecuador,52.13,5.29,4,extra rare,Average Amount
41,41,Alexandre,"La Dalia, Matagalpa",1944,2017,0.7,Netherlands,3.5,Nicaragua,52.13,5.29,4,extra rare,Average Amount
42,42,Alexandre,Tien Giang,1944,2017,0.7,Netherlands,3.5,Vietnam,52.13,5.29,4,extra rare,Average Amount
43,43,Alexandre,"Makwale Village, Kyela",1944,2017,0.7,Netherlands,3.5,Tanzania,52.13,5.29,4,extra rare,Average Amount
44,44,Altus aka Cao Artisan,Momotombo,1728,2016,0.6,U.S.A.,2.75,Nicaragua,37.09,-95.71,738,most common,Light Amount
45,45,Altus aka Cao Artisan,Acopagro,1728,2016,0.6,U.S.A.,3.0,Peru,37.09,-95.71,738,most common,Light Amount
46,46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,0.6,U.S.A.,2.5,Bolivia,37.09,-95.71,738,most common,Light Amount
47,47,Altus aka Cao Artisan,Villa Andina,1732,2016,0.6,U.S.A.,2.5,Peru,37.09,-95.71,738,most common,Light Amount
48,48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,0.6,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,Light Amount
49,49,Altus aka Cao Artisan,Sur del Lago,1125,2013,0.6,U.S.A.,2.5,Venezuela,37.09,-95.71,738,most common,Light Amount
50,50,Altus aka Cao Artisan,Conacado,1125,2013,0.6,U.S.A.,3.0,Dominican Republic,37.09,-95.71,738,most common,Light Amount
51,51,Altus aka Cao Artisan,Bolivia,1129,2013,0.8,U.S.A.,3.25,Bolivia,37.09,-95.71,738,most common,High Amount
52,52,Altus aka Cao Artisan,Bolivia,1133,2013,0.6,U.S.A.,3.0,Bolivia,37.09,-95.71,738,most common,Light Amount
53,53,Altus aka Cao Artisan,Peru,1133,2013,0.6,U.S.A.,3.25,Peru,37.09,-95.71,738,most common,Light Amount
54,54,Amano,Morobe,725,2011,0.7,U.S.A.,4.0,Papua New Guinea,37.09,-95.71,738,most common,Average Amount
55,55,Amano,Dos Rios,470,2010,0.7,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount
56,56,Amano,Guayas,470,2010,0.7,U.S.A.,4.0,Ecuador,37.09,-95.71,738,most common,Average Amount
57,57,Amano,Chuao,544,2010,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount
58,58,Amano,Montanya,363,2009,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount
59,59,Amano,"Bali, Jembrana",304,2008,0.7,U.S.A.,2.75,Indonesia,37.09,-95.71,738,most common,Average Amount
60,60,Amano,Madagascar,129,2007,0.7,U.S.A.,3.5,Madagascar,37.09,-95.71,738,most common,Average Amount
61,61,Amano,Cuyagua,147,2007,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount
62,62,Amano,Ocumare,175,2007,0.7,U.S.A.,3.75,Venezuela,37.09,-95.71,738,most common,Average Amount
63,63,Amatller (Simon Coll),Ghana,322,2009,0.7,Spain,3.0,Ghana,40.46,-3.7,21,extra rare,Average Amount
64,64,Amatller (Simon Coll),Ecuador,327,2009,0.7,Spain,2.75,Ecuador,40.46,-3.7,21,extra rare,Average Amount
65,65,Amatller (Simon Coll),Ecuador,464,2009,0.85,Spain,2.75,Ecuador,40.46,-3.7,21,extra rare,High Amount
66,66,Amatller (Simon Coll),Ghana,464,2009,0.85,Spain,3.0,Ghana,40.46,-3.7,21,extra rare,High Amount
67,67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,0.72,Peru,3.25,Peru,-9.19,-75.02,17,extra rare,Average Amount
68,68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,Peru,3.5,Peru,-9.19,-75.02,17,extra rare,Average Amount
69,69,Ambrosia,Belize,1494,2015,0.64,Canada,3.0,Belize,56.13,-106.35,117,somewhat rare,Light Amount
70,70,Ambrosia,Madagascar,1494,2015,0.66,Canada,3.25,Madagascar,56.13,-106.35,117,somewhat rare,Average Amount
71,71,Ambrosia,Dominican Republic,1498,2015,0.75,Canada,3.25,Dominican Republic,56.13,-106.35,117,somewhat rare,Average Amount
72,72,Ambrosia,Papua New Guinea,1498,2015,0.63,Canada,3.25,Papua New Guinea,56.13,-106.35,117,somewhat rare,Light Amount
73,73,Ambrosia,Venezuela,1498,2015,0.7,Canada,3.25,Venezuela,56.13,-106.35,117,somewhat rare,Average Amount
74,74,Ambrosia,Peru,1498,2015,0.68,Canada,3.5,Peru,56.13,-106.35,117,somewhat rare,Average Amount
75,75,Amedei,"Piura, Blanco de Criollo",979,2012,0.7,Italy,3.75,Peru,41.87,12.57,54,rare,Average Amount
76,76,Amedei,Porcelana,111,2007,0.7,Italy,4.0,Venezuela,41.87,12.57,54,rare,Average Amount
77,78,Amedei,Chuao,111,2007,0.7,Italy,5.0,Venezuela,41.87,12.57,54,rare,Average Amount
78,79,Amedei,Ecuador,123,2007,0.7,Italy,3.0,Ecuador,41.87,12.57,54,rare,Average Amount
79,80,Amedei,Jamaica,123,2007,0.7,Italy,3.0,Jamaica,41.87,12.57,54,rare,Average Amount
80,81,Amedei,Grenada,123,2007,0.7,Italy,3.5,Grenada,41.87,12.57,54,rare,Average Amount
81,82,Amedei,Venezuela,123,2007,0.7,Italy,3.75,Venezuela,41.87,12.57,54,rare,Average Amount
82,83,Amedei,Madagascar,123,2007,0.7,Italy,4.0,Madagascar,41.87,12.57,54,rare,Average Amount
83,84,Amedei,Trinidad,129,2007,0.7,Italy,3.5,Trinidad,41.87,12.57,54,rare,Average Amount
84,88,AMMA,Catongo,1065,2013,0.75,Brazil,3.25,Brazil,-14.24,-51.93,17,extra rare,Average Amount
85,89,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.85,Brazil,2.75,Brazil,-14.24,-51.93,17,extra rare,High Amount
86,90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.5,Brazil,3.75,Brazil,-14.24,-51.93,17,extra rare,Light Amount
87,91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.75,Brazil,3.75,Brazil,-14.24,-51.93,17,extra rare,Average Amount
88,92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,Brazil,4.0,Brazil,-14.24,-51.93,17,extra rare,Light Amount
89,93,Anahata,Elvesia,1259,2014,0.75,U.S.A.,3.0,Dominican Republic,37.09,-95.71,738,most common,Average Amount
90,94,Animas,Alto Beni,1852,2016,0.75,U.S.A.,3.5,Bolivia,37.09,-95.71,738,most common,Average Amount
91,95,Ara,Madagascar,1375,2014,0.75,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount
92,96,Ara,Chiapas,1379,2014,0.72,France,2.5,Mexico,46.6,2.21,144,somewhat common,Average Amount
93,97,Ara,Equateur,1379,2014,0.75,France,2.75,Ecuador,46.6,2.21,144,somewhat common,Average Amount
94,98,Ara,Trincheras,1379,2014,0.75,France,3.0,Venezuela,46.6,2.21,144,somewhat common,Average Amount
95,99,Arete,San Juan,1724,2016,0.7,U.S.A.,3.5,Trinidad,37.09,-95.71,738,most common,Average Amount
96,100,Arete,Kokoa Kamili,1724,2016,0.7,U.S.A.,3.75,Tanzania,37.09,-95.71,738,most common,Average Amount
97,101,Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Vietnam,37.09,-95.71,738,most common,Average Amount
98,102,Arete,Hacienda Victoria,1904,2016,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount
99,103,Arete,Costa Esmeraldas,1904,2016,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount
100,104,Arete,Lachua,1904,2016,0.7,U.S.A.,3.5,Guatemala,37.09,-95.71,738,most common,Average Amount
101,105,Arete,Rugoso,1904,2016,0.7,U.S.A.,3.75,Nicaragua,37.09,-95.71,738,most common,Average Amount
102,106,Arete,"La Masica, FHIA",1908,2016,0.7,U.S.A.,3.5,Honduras,37.09,-95.71,738,most common,Average Amount
103,107,Arete,"Coto Brus, Terciopelo",1908,2016,0.7,U.S.A.,4.0,Costa Rica,37.09,-95.71,738,most common,Average Amount
104,108,Arete,Phantom,1924,2016,0.7,U.S.A.,4.0,Peru,37.09,-95.71,738,most common,Average Amount
105,109,Arete,Elvesia,1928,2016,0.7,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount
106,110,Arete,Matasawalevu,1928,2016,0.7,U.S.A.,3.25,Fiji,37.09,-95.71,738,most common,Average Amount
107,111,Arete,Lam Dong,1928,2016,0.73,U.S.A.,3.25,Vietnam,37.09,-95.71,738,most common,Average Amount
108,112,Arete,Fazenda Camboa,1534,2015,0.7,U.S.A.,3.5,Brazil,37.09,-95.71,738,most common,Average Amount
109,113,Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Peru,37.09,-95.71,738,most common,Average Amount
110,114,Arete,"Puerto Quito, heirloom",1534,2015,0.7,U.S.A.,3.75,Ecuador,37.09,-95.71,738,most common,Average Amount
111,115,Arete,Oko Caribe,1598,2015,0.7,U.S.A.,3.5,Domincan Republic,37.09,-95.71,738,most common,Average Amount
112,116,Arete,Maya Mountain,1598,2015,0.7,U.S.A.,3.75,Belize,37.09,-95.71,738,most common,Average Amount
113,117,Arete,Chuno,1598,2015,0.7,U.S.A.,4.0,Nicaragua,37.09,-95.71,738,most common,Average Amount
114,118,Arete,Fazenda Camboa,1602,2015,0.75,U.S.A.,2.75,Brazil,37.09,-95.71,738,most common,Average Amount
115,119,Arete,Guatemala,1602,2015,0.7,U.S.A.,3.25,Guatemala,37.09,-95.71,738,most common,Average Amount
116,120,Arete,Camino Verde,1602,2015,0.75,U.S.A.,3.5,Ecuador,37.09,-95.71,738,most common,Average Amount
117,121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinidad,55.37,-1.17,95,somewhat rare,Average Amount
118,122,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,0.72,U.K.,3.75,Colombia,55.37,-1.17,95,somewhat rare,Average Amount
119,123,Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4.0,Haiti,55.37,-1.17,95,somewhat rare,Average Amount
120,124,Artisan du Chocolat,Panama,745,2011,0.72,U.K.,2.75,Panama,55.37,-1.17,95,somewhat rare,Average Amount
121,125,Artisan du Chocolat,Venezuela,486,2010,1.0,U.K.,1.75,Venezuela,55.37,-1.17,95,somewhat rare,High Amount
122,126,Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Jamaica,55.37,-1.17,95,somewhat rare,Average Amount
123,127,Artisan du Chocolat,Costa Rica,600,2010,0.72,U.K.,3.25,Costa Rica,55.37,-1.17,95,somewhat rare,Average Amount
124,128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Vietnam,55.37,-1.17,95,somewhat rare,Average Amount
