,Unnamed: 0.1,Unnamed: 0,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company Latitude,Company Logitude,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Bean Origin Longitude,Bean Origin Latitude
0,0,0,A. Morin,Agua Grande,1876,2016,0.63,France,3.75,Sao Tome,46.6,2.21,144,somewhat common,Light Amount,6.6131,0.1864
1,1,1,A. Morin,Kpime,1676,2015,0.7,France,2.75,Togo,46.6,2.21,144,somewhat common,Average Amount,0.8248,8.6195
2,2,2,A. Morin,Atsane,1676,2015,0.7,France,3.0,Togo,46.6,2.21,144,somewhat common,Average Amount,0.8248,8.6195
3,3,3,A. Morin,Akata,1680,2015,0.7,France,3.5,Togo,46.6,2.21,144,somewhat common,Average Amount,0.8248,8.6195
4,4,4,A. Morin,Quilla,1704,2015,0.7,France,3.5,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967
5,5,5,A. Morin,Carenero,1315,2014,0.7,France,2.75,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238
6,6,6,A. Morin,Cuba,1315,2014,0.7,France,3.5,Cuba,46.6,2.21,144,somewhat common,Average Amount,-77.7812,21.5218
7,7,7,A. Morin,Sur del Lago,1315,2014,0.7,France,3.5,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238
8,8,8,A. Morin,Puerto Cabello,1319,2014,0.7,France,3.75,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238
9,9,9,A. Morin,Pablino,1319,2014,0.7,France,4.0,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967
10,10,10,A. Morin,Panama,1011,2013,0.7,France,2.75,Panama,46.6,2.21,144,somewhat common,Average Amount,-80.7821,8.537981
11,11,11,A. Morin,Madagascar,1011,2013,0.7,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount,46.8691,-18.7669
12,12,12,A. Morin,Brazil,1011,2013,0.7,France,3.25,Brazil,46.6,2.21,144,somewhat common,Average Amount,-51.9253,-14.235
13,13,13,A. Morin,Equateur,1011,2013,0.7,France,3.75,Ecuador,46.6,2.21,144,somewhat common,Average Amount,-78.1834,-1.8312
14,14,14,A. Morin,Colombie,1015,2013,0.7,France,2.75,Colombia,46.6,2.21,144,somewhat common,Average Amount,-74.2973,4.5709
15,15,15,A. Morin,Birmanie,1015,2013,0.7,France,3.0,Burma,46.6,2.21,144,somewhat common,Average Amount,95.956,21.9162
16,16,16,A. Morin,Papua New Guinea,1015,2013,0.7,France,3.25,Papua New Guinea,46.6,2.21,144,somewhat common,Average Amount,147.3257,-6.314993
17,17,17,A. Morin,Chuao,1015,2013,0.7,France,4.0,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238
18,18,18,A. Morin,Piura,1019,2013,0.7,France,3.25,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967
19,19,19,A. Morin,Chanchamayo Province,1019,2013,0.7,France,3.5,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967
20,20,20,A. Morin,Chanchamayo Province,1019,2013,0.63,France,4.0,Peru,46.6,2.21,144,somewhat common,Light Amount,-75.0152,-9.189967
21,21,21,A. Morin,Bolivia,797,2012,0.7,France,3.5,Bolivia,46.6,2.21,144,somewhat common,Average Amount,-63.5887,-16.2902
22,22,22,A. Morin,Peru,797,2012,0.63,France,3.75,Peru,46.6,2.21,144,somewhat common,Light Amount,-75.0152,-9.189967
23,23,23,Acalli,"Chulucanas, El Platanal",1462,2015,0.7,U.S.A.,3.75,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967
24,24,24,Acalli,"Tumbes, Norandino",1470,2015,0.7,U.S.A.,3.75,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967
25,25,25,Adi,Vanua Levu,705,2011,0.6,Fiji,2.75,Fiji,-17.71,179.41,4,extra rare,Light Amount,179.4144,-17.7134
26,26,26,Adi,"Vanua Levu, Toto-A",705,2011,0.8,Fiji,3.25,Fiji,-17.71,179.41,4,extra rare,High Amount,179.4144,-17.7134
27,27,27,Adi,Vanua Levu,705,2011,0.88,Fiji,3.5,Fiji,-17.71,179.41,4,extra rare,High Amount,179.4144,-17.7134
