,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company Latitude,Company Logitude,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Bean Origin Longitude,Bean Origin Latitude,Bean_Origin_Count,Bean_Origin_Category
0,A. Morin,Agua Grande,1876,2016,0.63,France,3.75,Sao Tome,46.6,2.21,144,somewhat common,Light Amount,6.6131,0.1864,1,Extra Rare
1,A. Morin,Kpime,1676,2015,0.7,France,2.75,Togo,46.6,2.21,144,somewhat common,Average Amount,0.8248,8.6195,1,Extra Rare
2,A. Morin,Atsane,1676,2015,0.7,France,3.0,Togo,46.6,2.21,144,somewhat common,Average Amount,0.8248,8.6195,1,Extra Rare
3,A. Morin,Akata,1680,2015,0.7,France,3.5,Togo,46.6,2.21,144,somewhat common,Average Amount,0.8248,8.6195,1,Extra Rare
4,A. Morin,Quilla,1704,2015,0.7,France,3.5,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967,1,Extra Rare
5,A. Morin,Carenero,1315,2014,0.7,France,2.75,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238,1,Extra Rare
6,A. Morin,Cuba,1315,2014,0.7,France,3.5,Cuba,46.6,2.21,144,somewhat common,Average Amount,-77.7812,21.5218,6,Somewhat Rare
7,A. Morin,Sur del Lago,1315,2014,0.7,France,3.5,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238,6,Somewhat Rare
8,A. Morin,Puerto Cabello,1319,2014,0.7,France,3.75,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238,2,Rare
9,A. Morin,Pablino,1319,2014,0.7,France,4.0,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967,1,Extra Rare
10,A. Morin,Panama,1011,2013,0.7,France,2.75,Panama,46.6,2.21,144,somewhat common,Average Amount,-80.7821,8.537981,3,Somewhat Rare
11,A. Morin,Madagascar,1011,2013,0.7,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount,46.8691,-18.7669,56,Common
12,A. Morin,Brazil,1011,2013,0.7,France,3.25,Brazil,46.6,2.21,144,somewhat common,Average Amount,-51.9253,-14.235,11,Somewhat Common
13,A. Morin,Equateur,1011,2013,0.7,France,3.75,Ecuador,46.6,2.21,144,somewhat common,Average Amount,-78.1834,-1.8312,5,Somewhat Rare
14,A. Morin,Colombie,1015,2013,0.7,France,2.75,Colombia,46.6,2.21,144,somewhat common,Average Amount,-74.2973,4.5709,2,Rare
15,A. Morin,Birmanie,1015,2013,0.7,France,3.0,Burma,46.6,2.21,144,somewhat common,Average Amount,95.956,21.9162,1,Extra Rare
16,A. Morin,Papua New Guinea,1015,2013,0.7,France,3.25,Papua New Guinea,46.6,2.21,144,somewhat common,Average Amount,147.3257,-6.314993,15,Somewhat Common
17,A. Morin,Chuao,1015,2013,0.7,France,4.0,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238,19,Common
18,A. Morin,Piura,1019,2013,0.7,France,3.25,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967,8,Somewhat Rare
19,A. Morin,Chanchamayo Province,1019,2013,0.7,France,3.5,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967,2,Rare
20,A. Morin,Chanchamayo Province,1019,2013,0.63,France,4.0,Peru,46.6,2.21,144,somewhat common,Light Amount,-75.0152,-9.189967,2,Rare
21,A. Morin,Bolivia,797,2012,0.7,France,3.5,Bolivia,46.6,2.21,144,somewhat common,Average Amount,-63.5887,-16.2902,12,Somewhat Common
22,A. Morin,Peru,797,2012,0.63,France,3.75,Peru,46.6,2.21,144,somewhat common,Light Amount,-75.0152,-9.189967,45,Common
23,Acalli,"Chulucanas, El Platanal",1462,2015,0.7,U.S.A.,3.75,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967,1,Extra Rare
24,Acalli,"Tumbes, Norandino",1470,2015,0.7,U.S.A.,3.75,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967,1,Extra Rare
25,Adi,Vanua Levu,705,2011,0.6,Fiji,2.75,Fiji,-17.71,179.41,4,extra rare,Light Amount,179.4144,-17.7134,2,Rare
26,Adi,"Vanua Levu, Toto-A",705,2011,0.8,Fiji,3.25,Fiji,-17.71,179.41,4,extra rare,High Amount,179.4144,-17.7134,1,Extra Rare
27,Adi,Vanua Levu,705,2011,0.88,Fiji,3.5,Fiji,-17.71,179.41,4,extra rare,High Amount,179.4144,-17.7134,2,Rare
28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,0.72,Fiji,3.5,Fiji,-17.71,179.41,4,extra rare,Average Amount,179.4144,-17.7134,1,Extra Rare
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.55,Ecuador,2.75,Ecuador,-1.83,-78.18,54,rare,Light Amount,-78.1834,-1.8312,2,Rare
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.7,Ecuador,3.0,Ecuador,-1.83,-78.18,54,rare,Average Amount,-78.1834,-1.8312,2,Rare
31,Ah Cacao,Tabasco,316,2009,0.7,Mexico,3.0,Mexico,23.63,-102.55,4,extra rare,Average Amount,-102.5528,23.6345,3,Somewhat Rare
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Indonesia,46.82,8.23,35,rare,Average Amount,113.9213,-0.7893,1,Extra Rare
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Madagascar,46.82,8.23,35,rare,Average Amount,46.8691,-18.7669,1,Extra Rare
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,Switzerland,2.75,Brazil,46.82,8.23,35,rare,Average Amount,-51.9253,-14.235,1,Extra Rare
35,Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinidad,46.6,2.21,144,somewhat common,Average Amount,-61.2225,10.6918,3,Somewhat Rare
36,Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Vietnam,46.6,2.21,144,somewhat common,Average Amount,108.2772,14.0583,5,Somewhat Rare
37,Alain Ducasse,Madagascar,1215,2014,0.75,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount,46.8691,-18.7669,56,Common
38,Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238,19,Common
39,Alain Ducasse,"Piura, Perou",1173,2013,0.75,France,2.5,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967,1,Extra Rare
40,Alexandre,"Winak Coop, Napo",1944,2017,0.7,Netherlands,3.5,Ecuador,52.13,5.29,4,extra rare,Average Amount,-78.1834,-1.8312,1,Extra Rare
41,Alexandre,"La Dalia, Matagalpa",1944,2017,0.7,Netherlands,3.5,Nicaragua,52.13,5.29,4,extra rare,Average Amount,-85.2072,12.8654,1,Extra Rare
42,Alexandre,Tien Giang,1944,2017,0.7,Netherlands,3.5,Vietnam,52.13,5.29,4,extra rare,Average Amount,108.2772,14.0583,5,Somewhat Rare
43,Alexandre,"Makwale Village, Kyela",1944,2017,0.7,Netherlands,3.5,Tanzania,52.13,5.29,4,extra rare,Average Amount,34.8888,-6.369028,1,Extra Rare
44,Altus aka Cao Artisan,Momotombo,1728,2016,0.6,U.S.A.,2.75,Nicaragua,37.09,-95.71,738,most common,Light Amount,-85.2072,12.8654,2,Rare
45,Altus aka Cao Artisan,Acopagro,1728,2016,0.6,U.S.A.,3.0,Peru,37.09,-95.71,738,most common,Light Amount,-75.0152,-9.189967,1,Extra Rare
46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,0.6,U.S.A.,2.5,Bolivia,37.09,-95.71,738,most common,Light Amount,-63.5887,-16.2902,1,Extra Rare
47,Altus aka Cao Artisan,Villa Andina,1732,2016,0.6,U.S.A.,2.5,Peru,37.09,-95.71,738,most common,Light Amount,-75.0152,-9.189967,1,Extra Rare
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,0.6,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,Light Amount,-78.1834,-1.8312,1,Extra Rare
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,0.6,U.S.A.,2.5,Venezuela,37.09,-95.71,738,most common,Light Amount,-66.5897,6.4238,6,Somewhat Rare
50,Altus aka Cao Artisan,Conacado,1125,2013,0.6,U.S.A.,3.0,Dominican Republic,37.09,-95.71,738,most common,Light Amount,-70.1627,18.7357,10,Somewhat Common
51,Altus aka Cao Artisan,Bolivia,1129,2013,0.8,U.S.A.,3.25,Bolivia,37.09,-95.71,738,most common,High Amount,-63.5887,-16.2902,12,Somewhat Common
52,Altus aka Cao Artisan,Bolivia,1133,2013,0.6,U.S.A.,3.0,Bolivia,37.09,-95.71,738,most common,Light Amount,-63.5887,-16.2902,12,Somewhat Common
53,Altus aka Cao Artisan,Peru,1133,2013,0.6,U.S.A.,3.25,Peru,37.09,-95.71,738,most common,Light Amount,-75.0152,-9.189967,45,Common
54,Amano,Morobe,725,2011,0.7,U.S.A.,4.0,Papua New Guinea,37.09,-95.71,738,most common,Average Amount,147.3257,-6.314993,1,Extra Rare
55,Amano,Dos Rios,470,2010,0.7,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
56,Amano,Guayas,470,2010,0.7,U.S.A.,4.0,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,1,Extra Rare
57,Amano,Chuao,544,2010,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,19,Common
58,Amano,Montanya,363,2009,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,1,Extra Rare
59,Amano,"Bali, Jembrana",304,2008,0.7,U.S.A.,2.75,Indonesia,37.09,-95.71,738,most common,Average Amount,113.9213,-0.7893,1,Extra Rare
