,Unnamed: 0,REF,Review_Date,Cocoa_Percent,Rating,Company Latitude,Company Logitude,Company_Location_Count,Bean Origin Longitude,Bean Origin Latitude,Bean_Origin_Count,clusters,cluster
0,0,1876,2016,0.63,3.75,46.6,2.21,144,6.6131,0.1864,1,2,dark purple
1,1,1676,2015,0.7,2.75,46.6,2.21,144,0.8248,8.6195,1,2,dark purple
2,2,1676,2015,0.7,3.0,46.6,2.21,144,0.8248,8.6195,1,2,dark purple
3,3,1680,2015,0.7,3.5,46.6,2.21,144,0.8248,8.6195,1,2,dark purple
4,4,1704,2015,0.7,3.5,46.6,2.21,144,-75.0152,-9.189967,1,2,dark purple
5,5,1315,2014,0.7,2.75,46.6,2.21,144,-66.5897,6.4238,1,2,dark purple
6,6,1315,2014,0.7,3.5,46.6,2.21,144,-77.7812,21.5218,6,2,dark purple
7,7,1315,2014,0.7,3.5,46.6,2.21,144,-66.5897,6.4238,6,2,dark purple
8,8,1319,2014,0.7,3.75,46.6,2.21,144,-66.5897,6.4238,2,2,dark purple
9,9,1319,2014,0.7,4.0,46.6,2.21,144,-75.0152,-9.189967,1,2,dark purple
10,10,1011,2013,0.7,2.75,46.6,2.21,144,-80.7821,8.537981,3,2,dark purple
11,11,1011,2013,0.7,3.0,46.6,2.21,144,46.8691,-18.7669,56,2,dark purple
12,12,1011,2013,0.7,3.25,46.6,2.21,144,-51.9253,-14.235,11,2,dark purple
13,13,1011,2013,0.7,3.75,46.6,2.21,144,-78.1834,-1.8312,5,2,dark purple
14,14,1015,2013,0.7,2.75,46.6,2.21,144,-74.2973,4.5709,2,2,dark purple
15,15,1015,2013,0.7,3.0,46.6,2.21,144,95.956,21.9162,1,2,dark purple
16,16,1015,2013,0.7,3.25,46.6,2.21,144,147.3257,-6.314993,15,2,dark purple
17,17,1015,2013,0.7,4.0,46.6,2.21,144,-66.5897,6.4238,19,2,dark purple
18,18,1019,2013,0.7,3.25,46.6,2.21,144,-75.0152,-9.189967,8,2,dark purple
19,19,1019,2013,0.7,3.5,46.6,2.21,144,-75.0152,-9.189967,2,2,dark purple
20,20,1019,2013,0.63,4.0,46.6,2.21,144,-75.0152,-9.189967,2,2,dark purple
21,21,797,2012,0.7,3.5,46.6,2.21,144,-63.5887,-16.2902,12,1,purple
22,22,797,2012,0.63,3.75,46.6,2.21,144,-75.0152,-9.189967,45,1,purple
23,23,1462,2015,0.7,3.75,37.09,-95.71,738,-75.0152,-9.189967,1,2,dark purple
24,24,1470,2015,0.7,3.75,37.09,-95.71,738,-75.0152,-9.189967,1,2,dark purple
25,25,705,2011,0.6,2.75,-17.71,179.41,4,179.4144,-17.7134,2,1,purple
26,26,705,2011,0.8,3.25,-17.71,179.41,4,179.4144,-17.7134,1,1,purple
27,27,705,2011,0.88,3.5,-17.71,179.41,4,179.4144,-17.7134,2,1,purple
28,28,705,2011,0.72,3.5,-17.71,179.41,4,179.4144,-17.7134,1,1,purple
29,29,370,2009,0.55,2.75,-1.83,-78.18,54,-78.1834,-1.8312,2,1,purple
30,30,370,2009,0.7,3.0,-1.83,-78.18,54,-78.1834,-1.8312,2,1,purple
31,31,316,2009,0.7,3.0,23.63,-102.55,4,-102.5528,23.6345,3,1,purple
32,32,636,2011,0.75,3.75,46.82,8.23,35,113.9213,-0.7893,1,1,purple
33,33,502,2010,0.75,2.75,46.82,8.23,35,46.8691,-18.7669,1,1,purple
34,34,508,2010,0.75,2.75,46.82,8.23,35,-51.9253,-14.235,1,1,purple
35,35,1215,2014,0.65,2.75,46.6,2.21,144,-61.2225,10.6918,3,2,dark purple
36,36,1215,2014,0.75,2.75,46.6,2.21,144,108.2772,14.0583,5,2,dark purple
37,37,1215,2014,0.75,3.0,46.6,2.21,144,46.8691,-18.7669,56,2,dark purple
38,38,1061,2013,0.75,2.5,46.6,2.21,144,-66.5897,6.4238,19,2,dark purple
39,39,1173,2013,0.75,2.5,46.6,2.21,144,-75.0152,-9.189967,1,2,dark purple
40,40,1944,2017,0.7,3.5,52.13,5.29,4,-78.1834,-1.8312,1,2,dark purple
41,41,1944,2017,0.7,3.5,52.13,5.29,4,-85.2072,12.8654,1,2,dark purple
42,42,1944,2017,0.7,3.5,52.13,5.29,4,108.2772,14.0583,5,2,dark purple
43,43,1944,2017,0.7,3.5,52.13,5.29,4,34.8888,-6.369028,1,2,dark purple
44,44,1728,2016,0.6,2.75,37.09,-95.71,738,-85.2072,12.8654,2,2,dark purple
45,45,1728,2016,0.6,3.0,37.09,-95.71,738,-75.0152,-9.189967,1,2,dark purple
46,46,1732,2016,0.6,2.5,37.09,-95.71,738,-63.5887,-16.2902,1,2,dark purple
47,47,1732,2016,0.6,2.5,37.09,-95.71,738,-75.0152,-9.189967,1,2,dark purple
48,48,1732,2016,0.6,2.75,37.09,-95.71,738,-78.1834,-1.8312,1,2,dark purple
49,49,1125,2013,0.6,2.5,37.09,-95.71,738,-66.5897,6.4238,6,2,dark purple
50,50,1125,2013,0.6,3.0,37.09,-95.71,738,-70.1627,18.7357,10,2,dark purple
51,51,1129,2013,0.8,3.25,37.09,-95.71,738,-63.5887,-16.2902,12,2,dark purple
52,52,1133,2013,0.6,3.0,37.09,-95.71,738,-63.5887,-16.2902,12,2,dark purple
53,53,1133,2013,0.6,3.25,37.09,-95.71,738,-75.0152,-9.189967,45,2,dark purple
54,54,725,2011,0.7,4.0,37.09,-95.71,738,147.3257,-6.314993,1,1,purple
55,55,470,2010,0.7,3.75,37.09,-95.71,738,-70.1627,18.7357,1,1,purple
56,56,470,2010,0.7,4.0,37.09,-95.71,738,-78.1834,-1.8312,1,1,purple
57,57,544,2010,0.7,3.0,37.09,-95.71,738,-66.5897,6.4238,19,1,purple
58,58,363,2009,0.7,3.0,37.09,-95.71,738,-66.5897,6.4238,1,1,purple
59,59,304,2008,0.7,2.75,37.09,-95.71,738,113.9213,-0.7893,1,1,purple
60,60,129,2007,0.7,3.5,37.09,-95.71,738,46.8691,-18.7669,56,1,purple
61,61,147,2007,0.7,3.0,37.09,-95.71,738,-66.5897,6.4238,6,1,purple
62,62,175,2007,0.7,3.75,37.09,-95.71,738,-66.5897,6.4238,17,1,purple
63,63,322,2009,0.7,3.0,40.46,-3.7,21,-1.0232,7.9465,15,1,purple
64,64,327,2009,0.7,2.75,40.46,-3.7,21,-78.1834,-1.8312,41,1,purple
65,65,464,2009,0.85,2.75,40.46,-3.7,21,-78.1834,-1.8312,41,1,purple
66,66,464,2009,0.85,3.0,40.46,-3.7,21,-1.0232,7.9465,15,1,purple
67,67,1145,2013,0.72,3.25,-9.19,-75.02,17,-75.0152,-9.189967,1,2,dark purple
68,68,1145,2013,0.73,3.5,-9.19,-75.02,17,-75.0152,-9.189967,1,2,dark purple
69,69,1494,2015,0.64,3.0,56.13,-106.35,117,-88.4977,17.1899,13,2,dark purple
70,70,1494,2015,0.66,3.25,56.13,-106.35,117,46.8691,-18.7669,56,2,dark purple
71,71,1498,2015,0.75,3.25,56.13,-106.35,117,-70.1627,18.7357,37,2,dark purple
72,72,1498,2015,0.63,3.25,56.13,-106.35,117,147.3257,-6.314993,15,2,dark purple
73,73,1498,2015,0.7,3.25,56.13,-106.35,117,-66.5897,6.4238,21,2,dark purple
74,74,1498,2015,0.68,3.5,56.13,-106.35,117,-75.0152,-9.189967,45,2,dark purple
75,75,979,2012,0.7,3.75,41.87,12.57,54,-75.0152,-9.189967,1,2,dark purple
76,76,111,2007,0.7,4.0,41.87,12.57,54,-66.5897,6.4238,11,1,purple
77,77,111,2007,0.7,5.0,41.87,12.57,54,-66.5897,6.4238,19,1,purple
78,78,123,2007,0.7,3.0,41.87,12.57,54,-78.1834,-1.8312,41,1,purple
79,79,123,2007,0.7,3.0,41.87,12.57,54,-77.2975,18.1096,8,1,purple
80,80,123,2007,0.7,3.5,41.87,12.57,54,-61.6042,12.1165,11,1,purple
81,81,123,2007,0.7,3.75,41.87,12.57,54,-66.5897,6.4238,21,1,purple
82,82,123,2007,0.7,4.0,41.87,12.57,54,46.8691,-18.7669,56,1,purple
83,83,129,2007,0.7,3.5,41.87,12.57,54,-61.2225,10.6918,11,1,purple
84,84,1065,2013,0.75,3.25,-14.24,-51.93,17,-51.9253,-14.235,2,2,dark purple
85,85,572,2010,0.85,2.75,-14.24,-51.93,17,-51.9253,-14.235,4,1,purple
86,86,572,2010,0.5,3.75,-14.24,-51.93,17,-51.9253,-14.235,4,1,purple
87,87,572,2010,0.75,3.75,-14.24,-51.93,17,-51.9253,-14.235,4,1,purple
88,88,572,2010,0.6,4.0,-14.24,-51.93,17,-51.9253,-14.235,4,1,purple
89,89,1259,2014,0.75,3.0,37.09,-95.71,738,-70.1627,18.7357,5,2,dark purple
90,90,1852,2016,0.75,3.5,37.09,-95.71,738,-63.5887,-16.2902,8,2,dark purple
91,91,1375,2014,0.75,3.0,46.6,2.21,144,46.8691,-18.7669,56,2,dark purple
92,92,1379,2014,0.72,2.5,46.6,2.21,144,-102.5528,23.6345,2,2,dark purple
93,93,1379,2014,0.75,2.75,46.6,2.21,144,-78.1834,-1.8312,5,2,dark purple
94,94,1379,2014,0.75,3.0,46.6,2.21,144,-66.5897,6.4238,1,2,dark purple
95,95,1724,2016,0.7,3.5,37.09,-95.71,738,-61.2225,10.6918,1,2,dark purple
96,96,1724,2016,0.7,3.75,37.09,-95.71,738,34.8888,-6.369028,6,2,dark purple
97,97,1900,2016,0.73,3.5,37.09,-95.71,738,108.2772,14.0583,5,2,dark purple
98,98,1904,2016,0.7,3.25,37.09,-95.71,738,-78.1834,-1.8312,2,2,dark purple
99,99,1904,2016,0.7,3.25,37.09,-95.71,738,-78.1834,-1.8312,1,2,dark purple
