,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Country
0,A. Morin,Agua Grande,1876,2016,0.63,France,3.75,Sao Tome,144,somewhat common,Light Amount,France
1,A. Morin,Kpime,1676,2015,0.7,France,2.75,Togo,144,somewhat common,Average Amount,France
2,A. Morin,Atsane,1676,2015,0.7,France,3.0,Togo,144,somewhat common,Average Amount,France
3,A. Morin,Akata,1680,2015,0.7,France,3.5,Togo,144,somewhat common,Average Amount,France
4,A. Morin,Quilla,1704,2015,0.7,France,3.5,Peru,144,somewhat common,Average Amount,France
5,A. Morin,Carenero,1315,2014,0.7,France,2.75,Venezuela,144,somewhat common,Average Amount,France
6,A. Morin,Cuba,1315,2014,0.7,France,3.5,Cuba,144,somewhat common,Average Amount,France
7,A. Morin,Sur del Lago,1315,2014,0.7,France,3.5,Venezuela,144,somewhat common,Average Amount,France
8,A. Morin,Puerto Cabello,1319,2014,0.7,France,3.75,Venezuela,144,somewhat common,Average Amount,France
9,A. Morin,Pablino,1319,2014,0.7,France,4.0,Peru,144,somewhat common,Average Amount,France
10,A. Morin,Panama,1011,2013,0.7,France,2.75,Panama,144,somewhat common,Average Amount,France
11,A. Morin,Madagascar,1011,2013,0.7,France,3.0,Madagascar,144,somewhat common,Average Amount,France
12,A. Morin,Brazil,1011,2013,0.7,France,3.25,Brazil,144,somewhat common,Average Amount,France
13,A. Morin,Equateur,1011,2013,0.7,France,3.75,Ecuador,144,somewhat common,Average Amount,France
14,A. Morin,Colombie,1015,2013,0.7,France,2.75,Colombia,144,somewhat common,Average Amount,France
15,A. Morin,Birmanie,1015,2013,0.7,France,3.0,Burma,144,somewhat common,Average Amount,France
16,A. Morin,Papua New Guinea,1015,2013,0.7,France,3.25,Papua New Guinea,144,somewhat common,Average Amount,France
17,A. Morin,Chuao,1015,2013,0.7,France,4.0,Venezuela,144,somewhat common,Average Amount,France
18,A. Morin,Piura,1019,2013,0.7,France,3.25,Peru,144,somewhat common,Average Amount,France
19,A. Morin,Chanchamayo Province,1019,2013,0.7,France,3.5,Peru,144,somewhat common,Average Amount,France
20,A. Morin,Chanchamayo Province,1019,2013,0.63,France,4.0,Peru,144,somewhat common,Light Amount,France
