Printer,Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Lenght,Print Lenght,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq in,MATERIAL FORMULA 1,MATERIAL FORMULA 2
Roland,1 up 9 Square 18x24 Sign New Need 10 2024_HPW24.eps,04/09/2024,0:05:00,1337,55.71,25.70826772,494.5197844,0.6301268759,"High Performance White 24""",1.142635781,"High Performance White 24""",
Roland,1 up 9 Square 18x24 Sign New Need 10 7.24 2024_HPW24.eps,07/24/2024,0:43:01,9072,377.98,257.9826772,4962.510088,0.4529610319,"High Performance White 24""",4.227428578,"High Performance White 24""",
Roland,1 up_Cedar Specialist Van Mags Need 2 18x30  3-3-2020_MAG24.eps,03/08/2024,0:17:00,2880,120.00,60,1080,0.625,"Magnet 24""",1.920533333,"Magnet 24""",
Roland,1-22x28 Poster Cards Checking  5-30-24_RUB36.eps,05/30/2024,0:05:01,1349,37.47,22.47204724,629.2173228,0.5335654107,"Roll-up Banner 36""",0.4659502995,"Roll-up Banner 36""",
Roland,1) 2x - Gateway Disposal Large Rear & Front Loaders 103 and 303 4 1 24_HPW54.eps,04/04/2024,0:53:01,12823,237.46,207.4582677,10021.3778,0.2184686927,"High Performance White 54""",0.4399442958,"High Performance White 54""",
Roland,1) mags 80  5-16_MAG24.eps,05/16/2024,0:19:59,5280,110.00,80,1865.543307,0.646677404,"Magnet 24""",0.5251960629,"Magnet 24""",
Roland,1) Mccarthy 20 ft lock box containers 3 20 24_HPW54 .eps,03/20/2024,0:38:58,7879,145.90,115.9027559,6014.029732,0.2366770574,"High Performance White 54""",0.6592983701,"High Performance White 54""",
Roland,1) Mccarthy 20 ft lock box containers 5 3 24_HPW54 .eps,05/02/2024,0:35:59,7879,145.90,115.9027559,6014.029732,0.2366770574,"High Performance White 54""",0.6592983701,"High Performance White 54""",
Roland,1) Mccarthy 20 ft lock box containers 6 19 24_HPW54 .eps,06/20/2024,2:05:50,27203,568.61,463.6110236,24056.11893,0.1156920974,"High Performance White 54""",2.63719348,"High Performance White 54""",
Roland,1) McCarthy Dumpsters x 6 - SIDES  3-2-24_HPW54.eps,02/07/2024,3:59:02,56511,1046.50,866.4992126,33997.813,0.3983854721,"High Performance White 54""",6.224554738,"High Performance White 54""",
Roland,1) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_HPW54_HPW54.eps,04/19/2024,0:06:56,3181,58.90,28.90275591,1322.301083,0.5842799423,"High Performance White 54""",0.08320041588,"High Performance White 54""",
Roland,1) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_Redo_HPW54.eps,04/30/2024,0:30:58,5795,120.74,90.73582677,5048.4128,0.1288810499,"High Performance White 54""",0.08702616395,"High Performance White 54""",
Roland,1) Parsons Blewett 2024 WALL  NEW FINAL  5-15-24_HPW48.eps,05/16/2024,0:24:03,6156,128.25,98.2496063,3583.364283,0.4179052497,"Water Damaged HP White 54"" to 48""",0.5138545386,"Water Damaged HP White 54"" to 48""",
Roland,100 year banner SF 2 needed 4-29-24_BAN54.eps,04/30/2024,0:15:03,4619,85.53,70.52795276,2543.893275,0.4491960439,"Banner 54""",1.611237405,"Banner 54""",
Roland,10x F'Caufe and Food Stickers 2x2 Round  800 of each - 4000 total decals 2-22-24_INT54.eps,02/26/2024,2:55:13,40788,755.33,590.3318898,30647.98647,0.2486014258,"Intermediate White 54""",7.107639786,"Intermediate White 54""",
Roland,10x10 Decals FOD Need 30 4-10-24_CAR54.eps,04/11/2024,0:25:58,5156,95.47,65.47244094,3746.467109,0.2733084035,"Cardinal 54""",0.7880576325,"Cardinal 54""",
Roland,10x10 Decals FOD Need 30 4-10-24_FIX_CAR54.eps,04/16/2024,0:24:03,5708,105.71,75.70826772,3339.569186,0.4149570782,"Cardinal 54""",0.7072864399,"Cardinal 54""",
Roland,10x16 CORP-Security Decals Final 5-2-24_EDW54.eps,05/03/2024,0:14:01,3531,65.39,35.38897638,1570.866504,0.5551219479,"Ez Dot (White) 54""",0.4970301411,"Ez Dot (White) 54""",
Roland,10x7 caution this euipment need 5  3-19-24_HPW30.eps,03/19/2024,0:08:01,1562,52.07,22.06889764,504.2048027,0.6772194627,"High Performance White 30""",0.8625066594,"High Performance White 30""",
Roland,12.5x20.5 Decal  6-3-24_HPW30.eps,06/14/2024,0:05:01,1325,44.18,14.18070866,308.229427,0.7674479531,"High Performance White 30""",0.248074951,"High Performance White 30""",
Roland,12x18 Clement Ford Parking CUSTOMER FIX 4-5-24_HPW24.eps,04/05/2024,0:07:01,1272,53.01,23.01338583,529.6249876,0.5837332879,"High Performance White 24""",0.456504141,"High Performance White 24""",
Roland,12x18 FACP Decal 7-17-24_RFVW30.eps,07/18/2024,0:04:59,1309,43.64,13.63897638,261.411924,0.8003222916,"Reflective White Vinyl 30""",0.7711966497,"Reflective White Vinyl 30""",
Roland,12x18 Mags 5-20-24_MAG24.eps,05/21/2024,0:19:01,3060,127.50,97.5,1901.211614,0.378689015,"Magnet 24""",0.5897965232,"Magnet 24""",
Roland,12x20 Mag CDS  FINAL NEW  7-9-24_MAG24.eps,07/10/2024,0:11:03,1919,79.97,49.97244094,1074.40748,0.440219933,"Magnet 24""",0.2278465149,"Magnet 24""",
Roland,12x23.5 Rest in Heaven Mag 9-03-24_MAG24.eps,09/03/2024,0:04:05,997,41.56,11.55905512,271.6377953,0.7276588354,"Magnet 24""",0.8646219491,"Magnet 24""",
Roland,12x24 Keeley Mags  3-13-23_MAG24.eps,09/16/2024,0:06:02,1297,54.03,24.02716535,535.2665951,0.5871933193,"Magnet 24""",0.246695761,"Magnet 24""",
Roland,12x24 mag 1 color blue on white 9-25-24_MAG24.eps,09/30/2024,0:09:56,2017,84.03,24.02677165,528.579517,0.737891316,"Magnet 24""",0.5568433708,"Magnet 24""",
Roland,14x14 ESD Mags 5-3-24_MAG24.eps,05/06/2024,0:09:58,3158,58.47,28.47244094,425.8983942,0.8651158191,"Magnet 24""",0.8699539727,"Magnet 24""",
Roland,15.5625x2.5 insert panels 7-30- 2.eps,07/31/2024,0:04:59,0,10.43,10.43070866,174.7143701,Can't Estimate Waste,,0.4244642268,,
Roland,15.5625x2.5 insert panels 7-30-24.eps,07/31/2024,0:07:01,0,21.47,21.47204724,461.0488129,Can't Estimate Waste,,0.2167579597,,
Roland,16x108 Decal New Equip.  6-20-24_HPW36.eps,06/24/2024,0:30:00,5029,139.71,109.7082677,3673.672048,0.2695747542,"High Performance White 36""",0.3337303885,"High Performance White 36""",
Roland,16x108 Decal New Equip.  6-20-24_v2_HPW36.eps,06/24/2024,0:28:00,5029,139.71,109.7082677,3673.672048,0.2695747542,"High Performance White 36""",0.3338087842,"High Performance White 36""",
Roland,18x18 WWT Fedex-UPS Mags 4-2-24_MAG24.eps,04/02/2024,0:12:59,2016,84.01,54.01377953,972.9923159,0.5174440821,"Magnet 24""",0.4188316735,"Magnet 24""",
Roland,18x46 CHEERS Banner 9-20-24_BAN63.eps,09/23/2024,0:12:04,4160,66.03,36.02755906,1657.764159,0.6014737302,"Banner 63""",1.528458669,"Banner 63""",
