" Pring Log -
  Printer","------------------------------------------------------------------
File Name",Date,Total Print Time,Area of Print (in),Total Print Lenght,Material,
HP,All_2x3_dF_coro_signs_2_of_each_10-21-24_CORPLS,10/21/2024,1:37:06,13843.2,288.4,Corragated Plastic 4' x 8' sheet,1:41:17
HP,Dog_House_Bronenkamp_CORPLS,10/21/2024,0:12:53,4608,96,Corragated Plastic 4' x 8' sheet,
Roland,R448A Refigerant Labels  3x5 Blue  need 100  10-18-24_HPW54.eps,10/21/2024,0:15:01,3410,70.57,"High Performance White 54""",
Roland,P7_Commerce Ferguson Perf Coming soon 10 16 24_HPW54.eps,10/21/2024,0:23:57,4714,144.97,"High Performance White 54""",
Roland,P5_Commerce Ferguson Perf Coming soon 10 16 24_HPW54.eps,10/21/2024,0:28:59,6870,146.21,"High Performance White 54""",
Roland,P1_Commerce Ferguson Perf Coming soon 10 16 24_HPW54.eps,10/21/2024,0:19:00,2936,144.97,"High Performance White 54""",3:27:15
Roland,P2_Commerce Ferguson Perf Coming soon 10 16 24_HPW54.eps,10/21/2024,0:28:04,6870,146.21,"High Performance White 54""",159
Roland,P3_Commerce Ferguson Perf Coming soon 10 16 24_HPW54.eps,10/21/2024,0:27:56,6870,146.21,"High Performance White 54""",1303.60
Roland,P4_Commerce Ferguson Perf Coming soon 10 16 24_HPW54.eps,10/21/2024,0:30:58,6870,146.21,"High Performance White 54""",
HP,Steck_Roofing_18x24_yard_signs_10-21-24_back_CORPLS,10/21/2024,0:38:37,17280,360,Corragated Plastic 4' x 8' sheet,
HP,Steck_Roofing_18x24_yard_signs_10-21-24_CORPLS,10/21/2024,1:02:40,17280,360,Corragated Plastic 4' x 8' sheet,
Roland,P1_Bellerive CC_Wall_10.4.24_HPW60.eps,10/18/2024,0:21:05,5382,95.71,"High Performance White 60""",
Roland,P4_Bellerive CC_Wall_10.4.24_HPW60.eps,10/18/2024,0:19:59,5382,95.71,"High Performance White 60""",
Roland,P3_Bellerive CC_Wall_10.4.24_HPW60.eps,10/18/2024,0:18:59,5382,95.71,"High Performance White 60""",
Roland,P6_Bellerive CC_Wall_10.4.24_HPW60.eps,10/18/2024,0:17:01,4282,95.71,"High Performance White 60""",
Roland,P5_Bellerive CC_Wall_10.4.24_HPW60.eps,10/18/2024,0:20:00,5382,95.71,"High Performance White 60""",
Roland,P0_Bellerive CC_Wall_10.4.24_HPW60.eps,10/18/2024,0:25:01,4284,95.71,"High Performance White 60""",
Roland,P2_Bellerive CC_Wall_10.4.24_HPW60.eps,10/18/2024,0:19:04,5382,95.71,"High Performance White 60""",
Roland,New building faces final_TW30eps.eps,10/18/2024,0:27:59,4346,175.71,"Translucent White 30""",
HP,P1_36x60_FLEX_IN-OUT_BOUND_3of_each__10-16-24_CORPLS,10/17/2024,0:26:22,6490.8,180.3,Corragated Plastic 4' x 8' sheet,
HP,12x18 BY Appointments - Need 4 10-17-24 + 2 - 34x17 Tennant Signs - 10.15.24_ALMS08,10/17/2024,0:15:58,2496,52,Aluminum .08 4' x 8' sheet,
Roland,4x6 banner no access 10-16-24_BAN63.eps,10/17/2024,1:04:03,12604,252.01,"Banner 63""",
Roland,UIUC Sticker 708-1008_INT54.eps,10/17/2024,0:12:57,3257,63.26,"Intermediate White 54""",
Roland,Queen of Hearts 150000 decal need 2 RUSH 10-17-24_INT30.eps,10/17/2024,0:14:58,2299,93.69,"Intermediate White 30""",
HP,P2_All_Signs_Final_8_-_62x38_10-14-24_UFS,10/16/2024,0:09:19,2356,62,Ultra Foam Sheet 4' x 8',
HP,Jost_24_x18_directional_10_15_24_CORPLS,10/16/2024,0:33:49,5198.4,108.3,Corragated Plastic 4' x 8' sheet,
HP,P1_All_Signs_Final_8_-_62x38_10-14-24_UFS,10/16/2024,0:10:26,2356,62,Ultra Foam Sheet 4' x 8',
HP,P4_print_2_All_Signs_Final_8_-_62x38_10-14-24_UFS,10/16/2024,0:09:51,4712,124,Ultra Foam Sheet 4' x 8',
Roland,Wash U Facilities Mags 10 15 24_MAG24.eps,10/16/2024,0:06:04,871,58.01,"Magnet 24""",
Roland,JDS Masonry Equipment decals 10 15 24 + JE_HPW30.eps,10/16/2024,0:39:00,6236,218.81,"High Performance White 30""",
Roland,3x8 Banner 50 OFF 10-16-24_BAN38.eps,10/16/2024,0:19:57,4274,128.01,"Banner 38""",
HP,HOLE_Sponsor_Signs_18x24_NEW__10-16-24_CORPLS,10/16/2024,0:05:39,864,18,Corragated Plastic 4' x 8' sheet,
HP,P3_print_2_All_Signs_Final_8_-_62x38_10-14-24_UFS,10/16/2024,0:23:45,4712,124,Ultra Foam Sheet 4' x 8',
Roland,Ameren Contractor sign_MAG24.eps,10/15/2024,0:11:06,1880,88.03,"Magnet 24""",
Roland,P2_Harlan Chevy Suburban contracting Masonry 10 8 24_HPW30.eps,10/15/2024,0:11:59,1841,91.80,"High Performance White 30""",
HP,All_Signs_Final_8_-_62x38_10-14-24_BAN98,10/15/2024,0:20:17,5126.4,80.1,"16 oz Banner 98""",
HP,All_Trucks_Turn_Left_12x18_Need_2_10-15-24_ALM1218,10/15/2024,0:07:23,432,24,Aluminum 12 x 18 sheets,
Roland,Wash U Facilities vehicle decal logos 10 15 24_HPW30.eps,10/15/2024,0:13:05,2751,82.57,"High Performance White 30""",
Roland,FIX FOR Greater St Louis Book Fair 10 10 24 + Resident Roofing 2024_HPW30.eps,10/15/2024,0:11:57,1671,80.53,"High Performance White 30""",
HP,Back_Residential_Roof_Yard_Signs_10_11_24_CORPLS,10/14/2024,1:10:50,64800,1350,Corragated Plastic 4' x 8' sheet,
HP,Residential_Roof_Yard_Signs_10_11_24_CORPLS~1,10/14/2024,0:05:22,64800,1350,Corragated Plastic 4' x 8' sheet,
Roland,window perf_PERF60.eps,10/14/2024,0:58:02,6550,117.22,"Perforated 60""",
Roland,Greater St Louis Book Fair Box Truck 10 10 24_HPW60.eps,10/14/2024,1:15:02,14154,256.57,"High Performance White 60""",
Roland,Lights Out Green Mags  10-11-24_MAG24.eps,10/14/2024,0:09:02,1796,74.79,"Magnet 24""",
Roland,QTS ATL 02_Hardhat Sticker_108 up_10-14-24.eps,10/14/2024,0:08:58,2457,48.19,,
Roland,plaque print_HPW60.eps,10/14/2024,0:06:01,2381,45.85,"High Performance White 60""",
Roland,window prints 3M_HPW60.eps,10/14/2024,0:16:01,4553,81.33,"High Performance White 60""",
Roland,9 - Square 18x24 Sample Sign NEW   10-11-2024_HPW30.eps,10/13/2024,1:59:56,19787,784.50,"High Performance White 30""",
Roland,31x48 RUSH Posters  10-11-24_BAN38.eps,10/11/2024,0:19:57,3906,126.00,"Banner 38""",
HP,Keely_Const_Trailer_4X3_10_10_24_+_18x24_Car_Sale_Signs_10_10_24_ALMS08,10/11/2024,0:21:05,4608,96,Aluminum .08 4' x 8' sheet,
HP,Memory_Markers_10-10-24_R2P_ALMS063~3,10/11/2024,0:05:19,105,15,Aluminum .063,
HP,Southmore_apt_Recycle_Center_sign_10_11_24_ALMS08,10/11/2024,,578.4,24.1,Aluminum .08 4' x 8' sheet,
HP,12x36_Arrows__10-10-24_ALMS3,10/11/2024,0:19:31,4147.2,96,Aluminum 3mm acm 4' x 8' sheet,
Roland,JA Timline Poster_66x28_updated  10-11-24_THP54.eps,10/11/2024,0:30:00,2774,97.06,"Thick Paper/ Heavy Paper 54""",
Roland,34x50 American Flag with DD Audio Logo 10-8-24_HPW54.eps,10/10/2024,0:22:02,5201,101.55,"High Performance White 54""",
Roland,Master Com mags_MAG24.eps,10/10/2024,0:17:03,2378,121.97,"Magnet 24""",
Roland,Harlan Chevy Suburban contracting Masonry 10 8 24_HPW36.eps,10/10/2024,0:13:58,3067,101.06,"High Performance White 36""",
Roland,Banner 3x8 NEW Date Decal  10-8-24_HPW54.eps,10/10/2024,0:05:56,1557,41.13,"High Performance White 54""",
Roland,FOR SALE BURST Need 12  10-9-24_HPW36.eps,10/10/2024,0:07:57,1354,53.79,"High Performance White 36""",
HP,clear_acrylic_direct_print_reverse_CLAC~1,10/10/2024,0:10:35,349.8,15.9,Clear Acrylic 4' x 8' sheet,
HP,4x4__NARROW_BRIDGE_Need_4total__10-10-24_ALMS3,10/10/2024,0:41:46,9216,192,Aluminum 3mm acm 4' x 8' sheet,
HP,48_x_16_ultrafoam_UFS~1,10/10/2024,0:12:46,833,49,Ultra Foam Sheet 4' x 8',
HP,P2_6X24_TAG_Sale_Signs_8-14-24_CORPLS,10/08/2024,0:49:08,12960,360,Corragated Plastic 4' x 8' sheet,
Roland,Trump banners 32x96 10-7-24_BAN38.eps,10/08/2024,0:40:58,7700,226.47,"Banner 38""",
HP,P1_6X24_TAG_Sale_Signs_8-14-24_CORPLS,10/08/2024,0:50:42,12960,360,Corragated Plastic 4' x 8' sheet,
HP,John_Richards_Memorial_sign_UFS,10/08/2024,0:13:42,699.04,25.7,Ultra Foam Sheet 4' x 8',
HP,P3_6X24_TAG_Sale_Signs_8-14-24_CORPLS,10/08/2024,0:46:47,12960,360,Corragated Plastic 4' x 8' sheet,
HP,St_Dominic_8x4_Turdf_Baseball_10_4_24_ALMS6,10/08/2024,,2304,64,Aluminum 6mm acm 4' x 8' sheet,
HP,EBT_3mm_Poly-Metal__3x8__10-8-24_ALMS3~1,10/08/2024,0:12:08,3456,96,Aluminum 3mm acm 4' x 8' sheet,
Roland,Pacific Rout 66 Onondaga_HPW60.eps,10/08/2024,0:09:57,892,81.81,"High Performance White 60""",
HP,P4_6X24_TAG_Sale_Signs_8-14-24_CORPLS,10/08/2024,0:09:52,12960,360,Corragated Plastic 4' x 8' sheet,
Roland,EBT BANNER 3x8  10-8-24_BAN38.eps,10/08/2024,0:17:02,4611,128.03,"Banner 38""",
Roland,Villa Reunion Banner 2021 REV 36x105-01_BAN38.eps,10/08/2024,0:26:59,4951,137.49,"Banner 38""",
HP,P5_6X24_TAG_Sale_Signs_8-14-24_CORPLS,10/08/2024,0:09:51,12960,360,Corragated Plastic 4' x 8' sheet,
Roland,2024 Hall of Fame Plaques_10.07.24_HPW60.eps,10/07/2024,0:11:02,2937,52.86,"High Performance White 60""",
Roland,2024 Hall of Fame Plaques_10.07.24_HPC54.eps,10/07/2024,0:11:02,2853,63.44,"High Preformance Clear 54""",
HP,All_Signs_Ultra_Foam_Board_10-07-24_UFS,10/07/2024,0:14:32,1080,90,Ultra Foam Sheet 4' x 8',
HP,12X18_AAA_Mail_Vehicles_10-7-24_ALM1218,10/07/2024,0:08:34,432,24,Aluminum 12 x 18 sheets,
Roland,Bommarito Magnetics 10 07 24_MAG24.eps,10/07/2024,0:15:01,2291,101.78,"Magnet 24""",
Roland,Pantone 7531 C_HPW60.eps,10/07/2024,0:45:05,13444,231.79,"High Performance White 60""",
HP,Oral-Surg-Rnd12_CLAC,10/04/2024,0:23:02,1680,35,Clear Acrylic 4' x 8' sheet,
Roland,American Eagle Big Leach truck 8 sides 10 3 24_HPW54.eps,10/04/2024,0:44:56,10645,223.64,"High Performance White 54""",
HP,brian_house_warming_gift_PVC3,10/04/2024,0:08:02,174,12,PVC 3mm 4' x 8' sheet,
Roland,Commerce KC Banners and signs 10 4 24_BAN38.eps,10/04/2024,0:30:01,6497,178.69,"Banner 38""",
Roland,American Eagle Big Leach Truck 8 Eagles and doors copy 8 10 23_HPW54.eps,10/04/2024,0:33:56,7177,147.68,"High Performance White 54""",
HP,SIGNS_18x24_18x48__9-27-24_CORPL1824,10/04/2024,,432,24,"Corragated Plastic 18"" x 24"" sheet", 
HP,SIGNS_18x24_18x48__9-27-24_CORPLS~1,10/04/2024,,864,18,Corragated Plastic 4' x 8' sheet,
Roland,SIUE Hardhat Sticker Need 200  10-4-24_INT30.eps,10/04/2024,0:21:01,3076,108.46,"Intermediate White 30""",
HP,44.5x28.5__Card_Entry_Exit_NEW_10-3-24_+_Commerce_Signs_10-4-24,10/04/2024,0:20:18,4248,88.5,,
HP,P2_12x18_Add_On_Sponsors__10-2-24_CORPL1824,10/03/2024,0:06:11,216,18,"Corragated Plastic 18"" x 24"" sheet",
HP,Back_Bethel_St_Peters_3x2_Celebrate_Recovery_9-30-24_+_18x24_Mont_Clair_ALMS3,10/03/2024,0:22:06,4612.8,96.1,Aluminum 3mm acm 4' x 8' sheet,
Roland,2x12 Central yard Decal Need 50  7-9-24_INT30.eps,10/03/2024,0:16:01,2291,89.94,"Intermediate White 30""",
Roland,2x12 Central yard Decal Need 50  7-9-24_HTV54.eps,10/03/2024,0:11:58,3030,60.69,High Tack Vinyle,
HP,P1_12x18_Add_On_Sponsors__10-2-24_CORPL1824,10/03/2024,0:01:35,216,18,"Corragated Plastic 18"" x 24"" sheet",
HP,Keeley_Jesseys_Auto_5_23_24_ALMS3 + Wiethop Sponsor Sign_ALMS3,10/03/2024,0:21:09,4608,96,Aluminum 3mm acm 4' x 8' sheet,
HP,P2_Keeley_Jesseys_Auto_5_23_24_ALMS3,10/03/2024,0:16:26,3460.8,72.1,Aluminum 3mm acm 4' x 8' sheet,
Roland,Whitfield_Fund_Banner_BAN63.eps,10/03/2024,0:33:00,7603,152.01,"Banner 63""",
HP,P2_BEB_Lang_9_11_24_ACRY~2,10/03/2024,0:04:10,192.66,16.9,Acrylic,
HP,Front_Bethel_St_Peters_3x2_Celebrate_Recovery_9-30-24_+_3x3_No_Trespass_ALMS3,10/03/2024,0:20:03,4612.8,96.1,Aluminum 3mm acm 4' x 8' sheet,
HP,3x3_No_Trespassing_Sign_Need_5__10-1-24_ALMS3,10/03/2024,0:32:01,5184,144,Aluminum 3mm acm 4' x 8' sheet,
HP,16x16_lift_safety_signs_10-1-24_CORPL1824,10/03/2024,0:05:00,256,16,"Corragated Plastic 18"" x 24"" sheet",
Roland,MiniSo_INT54.eps,10/02/2024,0:16:03,2427,63.28,"Intermediate White 54""",
HP,P2_BEB_Lang_9_11_24_ACRY~1,10/02/2024,0:07:15,192.66,16.9,Acrylic,
HP,P1_BEB_Lang_9_11_24_ACRY~2,10/02/2024,0:04:08,192.66,16.9,Acrylic,
HP,P1_BEB_Lang_9_11_24_ACRY~1,10/02/2024,0:04:41,192.66,16.9,Acrylic,
Roland,INSERTS Small Redo  HONEY BEE WELL  9-24-24_RUB36.eps,10/02/2024,0:01:56,715,32.01,"Roll-up Banner 36""",
Roland,9x-Truck door decals  MCCARTHY  10-1-24_HPW54.eps,10/02/2024,3:47:48,52170,1001.14,"High Performance White 54""",
Roland,Mercy - Coming Soon Banner 42''x360''  FINAL  10-1-24_BAN63.eps,10/02/2024,1:37:00,8630,392.03,"Banner 63""",
Roland,Suite Inserts Add Ons 10-1-24+Insert small redo Honey Bee Well_RUB36.eps,10/02/2024,0:05:00,935,42.01,"Roll-up Banner 36""",
HP,2x3_lift_safety_signs_10-1-24_CORPLS23,10/02/2024,1:07:55,21081.6,585.6,Corragated Plastic 4' x 8' sheet,
HP,P2_Back_18x24_yard_signs__9-25-24_CORPLS,10/01/2024,0:06:50,1735.2,96.4,Corragated Plastic 4' x 8' sheet,
HP,P2_18x24_yard_signs__9-25-24_CORPLS,10/01/2024,0:07:30,7034.4,390.8,Corragated Plastic 4' x 8' sheet,
Roland,New Building faces reverse_TW60.eps,10/01/2024,1:51:52,17120,351.39,"Translucent White 60""",
Roland,MC IND TRUCK DOOR LOGO 10-1-24_HPW54.eps,10/01/2024,1:50:04,25075,504.30,"High Performance White 54""",
HP,Meeting-Signs_CORPL1824,10/01/2024,0:11:24,1749.6,97.2,"Corragated Plastic 18"" x 24"" sheet",
HP,brushed_alum_direct_print_Custom_Ordered~1,10/01/2024,0:06:08,68.31,9.9,,
Roland,New building faces final_TW60.eps,10/01/2024,3:02:00,34439,702.83,"Translucent White 60""",
HP,Back_18x24_yard_signs__9-25-24_CORPLS,10/01/2024,0:13:45,4612.8,96.1,Corragated Plastic 4' x 8' sheet,
Roland,Molner f250 9 30 24_HPW54.eps,10/01/2024,0:23:58,6345,131.69,"High Performance White 54""",
