Event,Nick Name,Job Name,Size,Page Size_X[mm],Page Size_Y[mm],Media Name,Copy,Print Area_X[mm],Print Area_Y[mm],Ink Consumption[cc],Ink Name,Input Time,RIP Start Time,RIP End Time,Print Start Time,Print End Time,Details,Total Print Time,Material Width,Width (in),Length (in),Area (in),Extra for Lead in,Actual Length area,Actual Area,Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft
RIP End,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1462.395,1643.59,0.405:2.524:1.511:1.453:2.029:0.950:1.741,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/12 14:51:00,2024/02/12 14:55:04,,,,0:00:00,60.00,57.47,94.71,5682.496063,30,64.70826772,3718.916619,0.405,2.524,1.511,1.453,2.029,0.950,1.741,10.613,0.4109454867
New Job(A),XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610,1459.79,1631.59,3M™ IJ180Cv3,1,1459.79,1643.59,,,2024/02/12 14:50:03,,,,,,0:00:00,36.00,57.47,94.71,0,30,64.70826772,3718.916619,,,,,,,,0,0
Print End,XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898,703.43,1872.19,3M™ IJ180Cv3,1,717.215,1884.19,0.605:1.281:0.540:0.045:1.861:1.165:0.695,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 14:25:00,,0:14:55,36.00,27.69,104.18,3750.505512,30,74.18070866,2054.367555,0.605,1.281,0.540,0.045,1.861,1.165,0.695,6.192,0.4340255462
Print End,XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898,703.43,1872.19,3M™ IJ180Cv3,1,717.215,1884.19,0.605:1.281:0.540:0.045:1.861:1.165:0.695,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 14:08:00,,0:14:56,36.00,27.69,104.18,3750.505512,30,74.18070866,2054.367555,0.605,1.281,0.540,0.045,1.861,1.165,0.695,6.192,0.4340255462
Print End,XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898,703.43,1872.19,3M™ IJ180Cv3,1,717.215,1884.19,0.605:1.281:0.540:0.045:1.861:1.165:0.695,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 13:50:05,,0:14:02,36.00,27.69,104.18,3750.505512,30,74.18070866,2054.367555,0.605,1.281,0.540,0.045,1.861,1.165,0.695,6.192,0.4340255462
Print End,XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898,703.43,1872.19,3M™ IJ180Cv3,1,717.215,1884.19,0.605:1.281:0.540:0.045:1.861:1.165:0.695,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/12 13:14:02,2024/02/12 13:18:02,2/12/2024,2024/02/12 13:34:00,,0:19:58,36.00,27.69,104.18,3750.505512,30,74.18070866,2054.367555,0.605,1.281,0.540,0.045,1.861,1.165,0.695,6.192,0.4340255462
New Job(A),XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898,703.43,1872.19,3M™ IJ180Cv3,1,703.43,1884.19,,,2024/02/12 13:10:03,,,,,,0:00:00,,27.69,74.18,0,,74.18070866,2054.367555,,,,,,,,0,0
Print End,XR-640#2,Eclipse Logo Final NEED 2  2-6-24.eps,5824702,722.48,388.4,3M™ IJ180Cv3,1,726.74,400.4,0.051:0.936:0.620:0.001:0.658:0.214:0.113,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/12 11:54:05,2024/02/12 11:55:04,2/12/2024,2024/02/12 12:01:04,,0:06:59,,28.44,15.76,0,,15.76377953,448.3864344,0.051,0.936,0.620,0.001,0.658,0.214,0.113,2.593,0.8327459784
New Job(A),XR-640#2,Eclipse Logo Final NEED 2  2-6-24.eps,5824702,722.48,388.4,3M™ IJ180Cv3,1,722.48,400.4,,,2024/02/12 11:48:01,,,,,,0:00:00,,28.44,15.76,0,,15.76377953,448.3864344,,,,,,,,0,0
Print End,XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24-01.jpg,208521674,641.34,1577.17,Generic Vinyl II HD,1,680.17,1589.17,1.076:1.193:0.742:0.380:2.246:1.594:1.544,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 10:16:05,,0:11:01,,25.25,62.57,0,,62.56574803,1579.760506,1.076,1.193,0.742,0.380,2.246,1.594,1.544,8.775,0.7998680784
Print End,XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24-01.jpg,208521674,641.34,1577.17,Generic Vinyl II HD,1,680.17,1589.17,1.076:1.193:0.742:0.380:2.246:1.594:1.544,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 10:04:00,,0:14:00,,25.25,62.57,0,,62.56574803,1579.760506,1.076,1.193,0.742,0.380,2.246,1.594,1.544,8.775,0.7998680784
Print End,XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24-01.jpg,208521674,641.34,1577.17,Generic Vinyl II HD,1,680.17,1589.17,1.076:1.193:0.742:0.380:2.246:1.594:1.544,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 9:35:04,,0:14:00,,25.25,62.57,0,,62.56574803,1579.760506,1.076,1.193,0.742,0.380,2.246,1.594,1.544,8.775,0.7998680784
Print End,XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24-01.jpg,208521674,641.34,1577.17,Generic Vinyl II HD,1,680.17,1589.17,1.076:1.193:0.742:0.380:2.246:1.594:1.544,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 9:12:05,,0:13:05,,25.25,62.57,0,,62.56574803,1579.760506,1.076,1.193,0.742,0.380,2.246,1.594,1.544,8.775,0.7998680784
RIP End,XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24-01.jpg,208521674,641.34,1577.17,Generic Vinyl II HD,1,680.17,1589.17,1.076:1.193:0.742:0.380:2.246:1.594:1.544,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/12 8:54:02,2024/02/12 8:57:02,,,,0:00:00,,25.25,62.57,0,,62.56574803,1579.760506,1.076,1.193,0.742,0.380,2.246,1.594,1.544,8.775,0.7998680784
RIP Canceled,XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24-01.jpg,208521674,641.34,1577.17,3M™ IJ180Cv3,1,1589.17,641.34,,,,2024/02/12 8:51:05,2024/02/12 8:52:01,,,,0:00:00,,25.25,25.25,0,,25.2496063,637.5426183,,,,,,,,0,0
New Job(A),XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24-01.jpg,208521674,641.34,1577.17,3M™ IJ180Cv3,1,1589.17,641.34,,,2024/02/12 8:48:01,,,,,,0:00:00,,25.25,25.25,0,,25.2496063,637.5426183,,,,,,,,0,0
Error,XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24.eps,11133606142,0,0,,0,0,0,,,2024/02/12 8:31:03,,,,,The file is corrupted.,0:00:00,,0.00,0.00,0,,0,0,,,,,,,,0,#DIV/0!
Error,XR-640#2,x2 - NTT Kudos Safety Sticker need 1000 in 10 rolls of 100  2-9-24.eps,11133606142,0,0,,0,0,0,,,2024/02/12 8:27:04,,,,,The file is corrupted.,0:00:00,,0.00,0.00,0,,0,0,,,,,,,,0,#DIV/0!
Print End,XR-640#2,Caplaco St Louis Bread.eps,6137166,541.16,945.79,3M™ IJ180Cv3,1,553.08,957.79,0.289:0.305:1.728:0.121:1.344:0.813:0.834,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/09 14:48:00,2024/02/09 14:49:02,2/9/2024,2024/02/09 14:57:04,,0:09:04,,21.31,37.71,0,,37.70826772,803.3939432,0.289,0.305,1.728,0.121,1.344,0.813,0.834,5.434,0.9739879254
New Job(A),XR-640#2,Caplaco St Louis Bread.eps,6137166,541.16,945.79,3M™ IJ180Cv3,1,957.79,541.16,,,2024/02/09 14:47:04,,,,,,0:00:00,,21.31,21.31,0,,21.30551181,453.9248335,,,,,,,,0,0
Print Canceled,XR-640#2,Caplaco St Louis Bread.eps,6156666,541.16,945.79,3M™ IJ180Cv3,1,553.08,957.79,0.290:0.305:1.730:0.121:1.347:0.814:0.834,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/09 14:42:00,2024/02/09 14:43:03,2/9/2024,2024/02/09 14:47:03,,0:05:03,,21.31,37.71,0,,37.70826772,803.3939432,0.290,0.305,1.730,0.121,1.347,0.814,0.834,5.441,0.9752426025
New Job(A),XR-640#2,Caplaco St Louis Bread.eps,6156666,541.16,945.79,3M™ IJ180Cv3,1,957.79,541.16,,,2024/02/09 14:41:02,,,,,,0:00:00,,21.31,21.31,0,,21.30551181,453.9248335,,,,,,,,0,0
Print End,XR-640#2,World Wide Tech Decal 16.5x9.5 Need 4  1-19-23.eps,6513374,523.87,878.76,3M™ IJ180Cv3,1,544.435,890.76,0.074:0.285:0.146:0.184:0.284:0.148:0.211,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/08 15:55:01,2024/02/08 15:56:01,2/8/2024,2024/02/08 16:04:01,,0:09:00,,20.62,35.07,0,,35.06929134,723.2972305,0.074,0.285,0.146,0.184,0.284,0.148,0.211,1.332,0.2651855861
New Job(A),XR-640#2,World Wide Tech Decal 16.5x9.5 Need 4  1-19-23.eps,6513374,523.87,878.76,3M™ IJ180Cv3,1,890.76,523.87,,,2024/02/08 15:54:04,,,,,,0:00:00,,20.62,20.62,0,,20.62480315,425.382505,,,,,,,,0,0
Print End,XR-640#2,Bandwidth Belleville Dir Strips 2 7 24.eps,2220178,600.42,128.05,Generic Paper,1,735.205,140.05,0.003:0.012:0.108:0.003:0.047:0.022:0.032,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/08 15:22:05,2024/02/08 15:23:00,2/8/2024,2024/02/08 15:24:02,,0:01:57,,23.64,5.51,0,,5.513779528,130.3379332,0.003,0.012,0.108,0.003,0.047,0.022,0.032,0.227,0.2507942177
New Job(A),XR-640#2,Bandwidth Belleville Dir Strips 2 7 24.eps,2220178,600.42,128.05,3M™ IJ180Cv3,1,600.41,140.05,,,2024/02/08 15:21:05,,,,,,0:00:00,,23.64,5.51,0,,5.513779528,130.3379332,,,,,,,,0,0
