Event,Nick Name,Job Name,Size,Page Size_X[mm],Page Size_Y[mm],Media Name,Copy,Print Area_X[mm],Print Area_Y[mm],Ink Consumption[cc],Ink Name,Input Time,RIP Start Time,RIP End Time,Print Start Time,Print End Time,Details,Total Print Time,Material Width,Width (in),Esitmated Material Length (in),Area (in),Extra for Lead in,Print Length,Print Area,Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft
Print Canceled,XR-640#2,SOLD  BURST Need 4  11-7-24 + Knights Trivia Banner Date Change NEW  11-5-24_INT30.eps,4265130,694.26,325.26,3M™ IJ180Cv3,1,716.13,337.26,,,,2024/11/07 11:50:03,2024/11/07 11:50:04,2024/11/07 11:50:03,2024/11/07 11:50:03,,0:00:00,,27.33,13.28,0,,13.27795276,362.9272236,,,,,,,,0,0
New Job(A),XR-640#2,SOLD  BURST Need 4  11-7-24 + Knights Trivia Banner Date Change NEW  11-5-24_INT30.eps,4265130,694.26,325.26,3M™ IJ180Cv3,1,694.26,337.26,,,2024/11/07 11:40:00,,,,,,0:00:00,,27.33,13.28,0,,13.27795276,362.9272236,,,,,,,,0,0
Print End,XR-640#2,Axes Physical Therapy Emerson Building Inserts 11 5 24_RUB36.eps,6426294,656.16,489.3,Generic Paper,1,656.16,501.3,0.020:0.060:0.140:0.052:0.292:0.146:0.078,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/06 10:19:00,2024/11/06 10:19:02,2024/11/06 10:19:00,2024/11/06 10:23:05,,0:04:05,,25.83,19.74,0,,19.73622047,509.8471821,0.020,0.060,0.140,0.052,0.292,0.146,0.078,0.788,0.2225608064
New Job(A),XR-640#2,Axes Physical Therapy Emerson Building Inserts 11 5 24_RUB36.eps,6426294,656.16,489.3,3M™ IJ180Cv3,1,656.16,501.3,,,2024/11/06 10:17:01,,,,,,0:00:00,,25.83,19.74,0,,19.73622047,509.8471821,,,,,,,,0,0
Print End,XR-640#2,Laks Side Door Decals 6 14 24 + Gershman Comm VIP Pet Westport Flex 11-6-24_HPW30_LAMI.eps,6385346,722.84,505.88,3M™ IJ180Cv3,1,726.92,517.88,0.173:0.213:0.233:0.055:0.257:0.161:0.033,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/06 9:21:00,2024/11/06 9:22:00,2024/11/06 9:21:00,2024/11/06 9:27:02,,0:06:02,,28.46,20.39,0,,20.38897638,580.2349482,0.173,0.213,0.233,0.055,0.257,0.161,0.033,1.125,0.2791972467
New Job(A),XR-640#2,Laks Side Door Decals 6 14 24 + Gershman Comm VIP Pet Westport Flex 11-6-24_HPW30_LAMI.eps,6385346,722.84,505.88,3M™ IJ180Cv3,1,722.84,517.88,,,2024/11/06 9:20:04,,,,,,0:00:00,,28.46,20.39,0,,20.38897638,580.2349482,,,,,,,,0,0
Print End,XR-640#2,Wright Construction 2024 Ford Pick up logo 11 4 24_HPW36.eps,6836442,851.6,2126.89,3M™ IJ180Cv3,1,866.3,2138.89,0.506:1.979:1.819:0.190:2.048:0.792:1.108,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/05 8:10:02,2024/11/05 8:15:02,2024/11/05 8:10:02,2024/11/05 8:32:01,,0:21:59,,33.53,84.21,0,,84.20826772,2823.297669,0.506,1.979,1.819,0.190,2.048,0.792,1.108,8.442,0.4305773399
New Job(A),XR-640#2,Wright Construction 2024 Ford Pick up logo 11 4 24_HPW36.eps,6836442,851.6,2126.89,3M™ IJ180Cv3,1,851.6,2138.89,,,2024/11/05 8:08:00,,,,,,0:00:00,,33.53,84.21,0,,84.20826772,2823.297669,,,,,,,,0,0
Print End,XR-640#2,Wright Construction 2024 Ford Pick up logo 11 4 24_HPW36.eps,6745606,902.05,1371.95,3M™ IJ180Cv3,1,904.99,1388.43,0.509:1.473:1.570:0.188:1.923:0.792:1.058,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/04 14:46:04,2024/11/04 14:49:02,2024/11/04 14:46:04,2024/11/04 15:01:04,,0:15:00,,35.51,54.66,0,,54.66259843,1941.275469,0.509,1.473,1.570,0.188,1.923,0.792,1.058,7.513,0.5572995782
Print Canceled,XR-640#2,Wright Construction 2024 Ford Pick up logo 11 4 24_HPW36.eps,6745606,902.05,1371.95,Generic Vinyl II HD,1,904.99,1388.43,,,,2024/11/04 14:46:01,2024/11/04 14:46:02,2024/11/04 14:46:01,2024/11/04 14:46:01,,0:00:00,,35.51,54.66,0,,54.66259843,1941.275469,,,,,,,,0,0
New Job(A),XR-640#2,Wright Construction 2024 Ford Pick up logo 11 4 24_HPW36.eps,6745606,902.05,1371.95,3M™ IJ180Cv3,1,1383.95,902.05,,,2024/11/04 14:36:01,,,,,,0:00:00,,35.51,35.51,0,,35.51377953,1261.228536,,,,,,,,0,0
Print End,XR-640#2,Hard Hat Decals 11-4-24_INT30.eps,9289094,679.09,342.9,Generic Vinyl II HD,1,707.545,354.9,0.165:0.178:0.252:0.845:0.481:0.310:0.300,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/04 13:37:03,2024/11/04 13:38:01,2024/11/04 13:37:03,2024/11/04 13:44:05,,0:07:02,,26.74,13.97,0,,13.97244094,373.5647607,0.165,0.178,0.252,0.845,0.481,0.310,0.300,2.531,0.9756380643
New Job(A),XR-640#2,Hard Hat Decals 11-4-24_INT30.eps,9289094,679.09,342.9,3M™ IJ180Cv3,1,679.09,354.9,,,2024/11/04 13:37:01,,,,,,0:00:00,,26.74,13.97,0,,13.97244094,373.5647607,,,,,,,,0,0
Print End,XR-640#2,50 percent size_4x20 BANNER  2nd Chance RV Sign NEW PHONE  10-29-24_BAN63.eps,7020610,635.35,3073.75,Generic Banner II,1,1424.35,6159.5,1.582:9.537:14.020:8.508:14.301:7.199:5.354,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/04 11:58:02,2024/11/04 12:00:03,2024/11/04 11:58:02,2024/11/04 13:04:00,,1:05:58,,25.01,242.50,0,,242.5,6065.841535,1.582,9.537,14.020,8.508,14.301,7.199,5.354,60.501,1.436263039
New Job(A),XR-640#2,50 percent size_4x20 BANNER  2nd Chance RV Sign NEW PHONE  10-29-24_BAN63.eps,7020610,635.35,3073.75,3M™ IJ180Cv3,1,635.35,3085.75,,,2024/11/04 11:57:03,,,,,,0:00:00,,25.01,121.49,0,,121.4862205,3038.829535,,,,,,,,0,0
New Job(A),XR-640#2,50 percent size_4x20 BANNER  2nd Chance RV Sign NEW PHONE  10-29-24_BAN63.eps,7120834,609.95,3048.35,3M™ IJ180Cv3,1,609.95,3060.35,,,2024/11/04 11:55:04,,,,,,0:00:00,,24.01,120.49,0,,120.4862205,2893.329535,,,,,,,,0,0
Print End,XR-640#2,36x36 Were Camping Sign  NEW PHONE  10-29-24_BAN38.eps,7295182,863.59,965.55,Generic Banner II,1,905.3,965.55,0.277:0.359:0.703:0.996:0.917:1.221:0.616,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2024/11/04 11:14:04,2024/11/04 11:22:00,,0:07:56,,34.00,38.01,0,,38.01377953,1292.453538,0.277,0.359,0.703,0.996,0.917,1.221,0.616,5.089,0.5669960107
Print End,XR-640#2,3x4 banner need 2  NEW PHONE  10-29-24_BAN38.eps,6760834,876.3,1270.35,Generic Banner II,2,911.65,2540.68,0.420:2.245:3.315:2.346:3.778:2.139:1.630,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2024/11/04 10:42:03,2024/11/04 11:03:01,,0:20:58,,34.50,100.03,0,,100.0267717,3450.923622,0.420,2.245,3.315,2.346,3.778,2.139,1.630,15.873,0.6623478959
RIP End,XR-640#2,36x36 Were Camping Sign  NEW PHONE  10-29-24_BAN38.eps,7295182,863.59,965.55,Generic Banner II,1,905.3,965.55,0.277:0.359:0.703:0.996:0.917:1.221:0.616,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/04 10:42:02,2024/11/04 10:42:04,,,,0:00:00,,34.00,38.01,0,,38.01377953,1292.453538,0.277,0.359,0.703,0.996,0.917,1.221,0.616,5.089,0.5669960107
New Job(A),XR-640#2,36x36 Were Camping Sign  NEW PHONE  10-29-24_BAN38.eps,7295182,863.59,965.55,3M™ IJ180Cv3,1,977.55,863.59,,,2024/11/04 10:41:00,,,,,,0:00:00,,34.00,34.00,0,,33.9996063,1155.973229,,,,,,,,0,0
New Job(A),XR-640#2,36x36 Were Camping Sign  NEW PHONE  10-29-24_BAN38.eps,7252226,863.59,914.75,3M™ IJ180Cv3,1,926.75,863.59,,,2024/11/04 10:38:05,,,,,,0:00:00,,34.00,34.00,0,,33.9996063,1155.973229,,,,,,,,0,0
RIP End,XR-640#2,3x4 banner need 2  NEW PHONE  10-29-24_BAN38.eps,6760834,876.3,1270.35,Generic Banner II,2,911.65,2540.68,0.420:2.245:3.315:2.346:3.778:2.139:1.630,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/04 10:31:03,2024/11/04 10:32:00,,,,0:00:00,,34.50,100.03,0,,100.0267717,3450.923622,0.420,2.245,3.315,2.346,3.778,2.139,1.630,15.873,0.6623478959
New Job(A),XR-640#2,3x4 banner need 2  NEW PHONE  10-29-24_BAN38.eps,6760834,876.3,1270.35,3M™ IJ180Cv3,1,1282.34,876.3,,,2024/11/04 10:31:00,,,,,,0:00:00,,34.50,34.50,0,,34.5,1190.25,,,,,,,,0,0
Print End,XR-640#2,True Title Hampton Temp Banner_BAN38.eps,6760358,813.15,2641.95,Generic Banner II,1,880.075,2653.95,0.960:0.454:0.503:0.043:1.138:0.478:0.546,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/11/04 10:18:03,2024/11/04 10:19:03,2024/11/04 10:18:03,2024/11/04 10:39:02,,0:20:59,,32.01,104.49,0,,104.4862205,3344.998826,0.960,0.454,0.503,0.043,1.138,0.478,0.546,4.122,0.1774493896
New Job(A),XR-640#2,True Title Hampton Temp Banner_BAN38.eps,6760358,813.15,2641.95,3M™ IJ180Cv3,1,813.15,2653.95,,,2024/11/04 10:17:01,,,,,,0:00:00,,32.01,104.49,0,,104.4862205,3344.998826,,,,,,,,0,0
Print End,XR-640#2,A & A Donuts_Reverse Side_logo print_TW24.eps,6365610,520.34,807.86,Generic Vinyl II HD,1,543.17,819.86,0.030:0.427:0.354:0.124:0.320:0.101:0.068,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2024/11/04 9:35:03,2024/11/04 9:46:04,,0:11:01,,20.49,32.28,0,,32.27795276,661.2405487,0.030,0.427,0.354,0.124,0.320,0.101,0.068,1.424,0.3101080241
