Event,Nick Name,Job Name,Size,Page Size_X[mm],Page Size_Y[mm],Media Name,Copy,Print Area_X[mm],Print Area_Y[mm],Ink Consumption[cc],Ink Name,Input Time,RIP Start Time,RIP End Time,Print Start Time,Print End Time,Details,Total Print Time,Material Width,Width (in),Length (in),Area (in),Extra for Lead in,Actual Length area,Actual Area,Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft,material,Material Waste Percentage
RIP End,XR-640#2,x4 - Bommarito Equip decal Five and 3 quarter by 1 and 3 quarter 2 12 24.eps_HPW60,16286610.0,1459.79,1631.59,3M™ IJ180Cv3,1.0,1462.395,1643.59,0.405:2.524:1.511:1.453:2.029:0.950:1.741,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/12 14:51:00,2024/02/12 14:55:04,,,,0:00:00,60.0,57.47,94.71,5682.496063,30.0,64.70826772,3718.916619,0.405,2.524,1.511,1.453,2.029,0.95,1.741,10.613,0.4109454867,"High Performance White 60""",34.5548755728192
Print End,XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898.0,703.43,1872.19,3M™ IJ180Cv3,1.0,717.215,1884.19,0.605:1.281:0.540:0.045:1.861:1.165:0.695,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 14:25:00,,0:14:55,36.0,27.69,104.18,3750.505512,30.0,74.18070866,2054.367555,0.605,1.281,0.54,0.045,1.861,1.165,0.695,6.192,0.4340255462,"High Performance White 36""",45.22424914649746
Print End,XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898.0,703.43,1872.19,3M™ IJ180Cv3,1.0,717.215,1884.19,0.605:1.281:0.540:0.045:1.861:1.165:0.695,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 14:08:00,,0:14:56,36.0,27.69,104.18,3750.505512,30.0,74.18070866,2054.367555,0.605,1.281,0.54,0.045,1.861,1.165,0.695,6.192,0.4340255462,"High Performance White 36""",45.22424914649746
Print End,XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898.0,703.43,1872.19,3M™ IJ180Cv3,1.0,717.215,1884.19,0.605:1.281:0.540:0.045:1.861:1.165:0.695,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/12/2024,2024/02/12 13:50:05,,0:14:02,36.0,27.69,104.18,3750.505512,30.0,74.18070866,2054.367555,0.605,1.281,0.54,0.045,1.861,1.165,0.695,6.192,0.4340255462,"High Performance White 36""",45.22424914649746
Print End,XR-640#2,x4 - Birkel small logo decals 9 12 24.eps_HPW36,644348898.0,703.43,1872.19,3M™ IJ180Cv3,1.0,717.215,1884.19,0.605:1.281:0.540:0.045:1.861:1.165:0.695,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/12 13:14:02,2024/02/12 13:18:02,2/12/2024,2024/02/12 13:34:00,,0:19:58,36.0,27.69,104.18,3750.505512,30.0,74.18070866,2054.367555,0.605,1.281,0.54,0.045,1.861,1.165,0.695,6.192,0.4340255462,"High Performance White 36""",45.22424914649746
Print End,XR-640#2,Sybergs twisted tree Host Seating Sign.eps,243626238.0,1142.29,354.89,3M™ IJ180Cv3,1.0,1224.645,366.89,0.288:0.750:0.842:0.126:1.336:0.751:0.814,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/8/2024,2024/02/08 8:05:02,,0:06:57,54.0,44.97,44.44,2400.002362,30.0,14.44448819,649.5982053,0.288,0.75,0.842,0.126,1.336,0.751,0.814,4.907,1.087761626,Unknown Material,72.93343475051131
Print End,XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6759518.0,1196.97,3687.93,3M™ IJ180Cv3,1.0,1251.985,3699.93,0.000:17.263:8.753:0.001:4.377:0.102:0.627,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/7/2024,2024/02/07 16:14:02,,0:36:58,54.0,47.12,175.67,9485.992913,30.0,145.6665354,6864.506808,0.0,17.263,8.753,0.001,4.377,0.102,0.627,31.123,0.652881864,"High Performance White 54""",27.635336954631352
Print End,XR-640#2,4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6282654.0,1168.39,2210.5,3M™ IJ180Cv3,1.0,1237.7,2222.5,0.000:15.596:7.904:0.003:3.950:0.091:0.564,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/7/2024,2024/02/07 15:34:02,,0:24:57,54.0,46.0,117.5,6345.0,30.0,87.5,4024.965551,0.0,15.596,7.904,0.003,3.95,0.091,0.564,28.108,1.005611588,"High Performance White 54""",36.56476672970844
RIP End,XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6759518.0,1196.97,3687.93,3M™ IJ180Cv3,1.0,1251.985,3699.93,0.000:17.263:8.753:0.001:4.377:0.102:0.627,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 15:04:04,2024/02/07 15:18:02,,,,0:00:00,54.0,47.12,175.67,9485.992913,30.0,145.6665354,6864.506808,0.0,17.263,8.753,0.001,4.377,0.102,0.627,31.123,0.652881864,"High Performance White 54""",27.635336954631352
RIP End,XR-640#2,4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6282654.0,1168.39,2210.5,3M™ IJ180Cv3,1.0,1237.7,2222.5,0.000:15.596:7.904:0.003:3.950:0.091:0.564,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 15:04:02,2024/02/07 15:09:04,,,,0:00:00,54.0,46.0,117.5,6345.0,30.0,87.5,4024.965551,0.0,15.596,7.904,0.003,3.95,0.091,0.564,28.108,1.005611588,"High Performance White 54""",36.56476672970844
