,Job Name,Size,Media Name,Copy,Total Print Time,Material Width (in),Print Width (in),Esitmated Material Length (in),Material Area (in),Extra for Lead in,Print Length (in),Print Area (in),Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft,Material Type,Post Processing,Print Job Type,Material Waste,Above Waste Allowance
0,Axes Physical Therapy Emerson Building Inserts 11 5 24_RUB36.eps,6426294.0,Generic Paper,1.0,0:04:05,36.0,25.83,29.73622047,1070.50393692,10,19.73622047,509.7865747400999,0.02,0.06,0.14,0.052,0.292,0.146,0.078,0.788,0.2225608064,Roll-up banner,Not Laminated,Single Print Job,0.5237882298622533,1
1,Laks Side Door Decals 6 14 24 + Gershman Comm VIP Pet Westport Flex 11-6-24_HPW30_LAMI.eps,6385346.0,3M™ IJ180Cv3,1.0,0:06:02,30.0,28.46,50.38897638,1511.6692914,30,20.38897638,580.2702677748,0.173,0.213,0.233,0.055,0.257,0.161,0.033,1.125,0.2791972467,High Performance White,Laminated,Multi Print Job,0.6161394088799705,1
2,Wright Construction 2024 Ford Pick up logo 11 4 24_HPW36.eps,6836442.0,3M™ IJ180Cv3,1.0,0:21:59,36.0,33.53,94.20826772,3391.4976379199998,10,84.20826772,2823.5032166516,0.506,1.979,1.819,0.19,2.048,0.792,1.108,8.442,0.4305773399,High Performance White,Not Laminated,Single Print Job,0.1674759890491182,0
3,Wright Construction 2024 Ford Pick up logo 11 4 24_HPW36.eps,6745606.0,3M™ IJ180Cv3,1.0,0:15:00,36.0,35.51,64.66259843,2327.85354348,10,54.66259843,1941.0688702493,0.509,1.473,1.57,0.188,1.923,0.792,1.058,7.513,0.5572995782,High Performance White,Not Laminated,Single Print Job,0.16615507204653446,0
4,Hard Hat Decals 11-4-24_INT30.eps,9289094.0,Generic Vinyl II HD,1.0,0:07:02,30.0,26.74,23.97244094,719.1732281999999,10,13.97244094,373.6230707356,0.165,0.178,0.252,0.845,0.481,0.31,0.3,2.531,0.9756380643,Intermediate White,Not Laminated,Single Print Job,0.4804825095189771,1
5,50 percent size_4x20 BANNER  2nd Chance RV Sign NEW PHONE  10-29-24_BAN63.eps,7020610.0,Generic Banner II,1.0,1:05:58,63.0,50.02,495.0,31185.0,10,485.0,24259.7,1.582,9.537,14.02,8.508,14.301,7.199,5.354,60.501,1.436263039,Banner,Not Laminated,Single Print Job,0.22207150873817538,0
6,36x36 Were Camping Sign  NEW PHONE  10-29-24_BAN38.eps,7295182.0,Generic Banner II,1.0,0:07:56,38.0,34.0,48.01377953,1824.52362214,10,38.01377953,1292.46850402,0.277,0.359,0.703,0.996,0.917,1.221,0.616,5.089,0.5669960107,Banner,Not Laminated,Single Print Job,0.29161317050855606,1
7,3x4 banner need 2  NEW PHONE  10-29-24_BAN38.eps,6760834.0,Generic Banner II,2.0,0:20:58,38.0,34.5,110.0267717,4181.0173245999995,10,100.0267717,3450.92362365,0.42,2.245,3.315,2.346,3.778,2.139,1.63,15.873,0.6623478959,Banner,Not Laminated,Single Print Job,0.17462106570434932,0
8,True Title Hampton Temp Banner_BAN38.eps,6760358.0,Generic Banner II,1.0,0:20:59,38.0,32.01,114.4862205,4350.476379,10,104.4862205,3344.603918205,0.96,0.454,0.503,0.043,1.138,0.478,0.546,4.122,0.1774493896,Banner,Not Laminated,Single Print Job,0.2312097281232014,0
9,A & A Donuts_Reverse Side_logo print_TW24.eps,6365610.0,Generic Vinyl II HD,1.0,0:11:01,24.0,20.49,42.27795276,1014.6708662399999,10,32.27795276,661.3752520523999,0.03,0.427,0.354,0.124,0.32,0.101,0.068,1.424,0.3101080241,Translucent white,Not Laminated,Single Print Job,0.3481874033663592,1
10,A & A Donuts_Front_logo print_TW24_LAMI.eps,6361570.0,Generic Vinyl II HD,1.0,0:12:00,24.0,20.49,62.27795276,1494.67086624,30,32.27795276,661.3752520523999,0.03,0.427,0.354,0.125,0.319,0.101,0.068,1.424,0.3101080241,Translucent white,Laminated,Single Print Job,0.5575111103114239,1
11,A & A Donuts_Reverse Side_logo print_TW24.eps,6365610.0,Generic Vinyl II HD,1.0,0:12:57,24.0,20.49,42.27795276,1014.6708662399999,10,32.27795276,661.3752520523999,0.03,0.427,0.354,0.124,0.32,0.101,0.068,1.424,0.3101080241,Translucent white,Not Laminated,Single Print Job,0.3481874033663592,1
12,Generations Door Magnet 16x20 Need 1  11-12-24_MAG24_LAMI.eps,3926206.0,Generic Vinyl II HD,1.0,0:05:00,24.0,20.0,46.0,1104.0,30,16.0,320.0,0.246,0.378,0.302,0.198,0.782,0.485,0.783,3.174,1.4283,Magnets,Laminated,Single Print Job,0.7101449275362319,1
13,CPROS 12x24 MAG 11-11-24_MAG24_LAMI.eps,6155062.0,Generic Vinyl II HD,1.0,0:07:00,24.0,22.03,52.37283465,1256.9480316,30,22.37283465,492.8735473395001,0.043,2.178,1.685,0.261,0.565,0.102,0.093,4.927,1.439652472,Magnets,Laminated,Single Print Job,0.6078807278037508,1
14,3x8 Banner 30 OFF 10-28-24_BAN38_FLL.eps,6241570.0,Generic Banner II,1.0,0:20:00,38.0,38.0,108.48622047,4122.47637786,10,98.48622047,3742.4763778600004,0.796,4.677,3.924,4.301,3.124,3.067,2.664,22.553,0.9888638934,Banner,Not Laminated,Single Print Job,0.09217760519885854,0
15,Rollup Banner 11-12-24_RUB36.eps,7462134.0,Generic Paper,1.0,0:18:00,36.0,31.51,98.73622047,3554.5039369200003,10,88.73622047,2796.0783070097004,0.194,0.321,0.138,0.799,0.35,0.293,0.24,2.335,0.1202397204,Roll-up banner,Not Laminated,Single Print Job,0.21337031646882365,0
16,48x72  BLUSKY Growth Sign 11-11-24_HPW54_LAMI.eps,8203206.0,3M™ IJ180Cv3,1.0,0:25:00,54.0,49.22,103.69448819,5599.50236226,30,73.69448819,3627.2427087118,0.239,0.22,0.172,0.055,0.771,0.515,0.209,2.181,0.08658117547,High Performance White,Laminated,Single Print Job,0.3522205235309842,1
17,Tin Print 11-12-24_HPW54.eps,12665478.0,3M™ IJ180Cv3,1.0,0:44:00,54.0,46.75,167.1944882,9028.5023628,10,157.1944882,7348.84232335,0.395,1.296,1.004,0.878,1.891,1.052,1.652,8.168,0.1600513317,High Performance White,Not Laminated,Single Print Job,0.18603971865485436,0
18,Band Craft Fair Date Decals 2024 NEW   11-11-24 + KUMC Decal December 7th_INT30.eps,6762042.0,Generic Vinyl II HD,1.0,0:12:00,30.0,27.25,66.29173227999999,1988.7519683999997,10,56.29173228,1533.94970463,0.064,2.296,1.735,0.313,0.792,0.14,0.811,6.151,0.5774270155,Intermediate White,Not Laminated,Multi Print Job,0.2286872727200362,0
19,#68 Side Case Decal 11-11-24_HPW30.eps,5192274.0,3M™ IJ180Cv3,1.0,0:06:00,30.0,11.94,19.736220472,592.08661416,10,9.736220472,116.25047243567998,0.019,0.069,0.008,0.003,0.036,0.031,0.029,0.195,0.2414646019,High Performance White,Not Laminated,Single Print Job,0.8036596848239749,1
