Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Length,Print Length,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq ft,Printer,Minutes of Print Time,Total Ink Used For Print,Day of Week,Empty Space
1 up 9 Square 18x24 Sign New Need 10 2024_HPW24.eps,2024-04-09,0 days 00:05:00,1337.0,55.71,25.70826772,494.5197844,0.630127311593119,"High Performance White 24""",1.142635781,Roland,5.0,3.92400000047115,Tuesday,842.4802156000001
1 up 9 Square 18x24 Sign New Need 10 7.24 2024_HPW24.eps,2024-07-24,0 days 00:43:01,9072.0,377.98,257.9826772,4962.510088,0.45298610141093476,"High Performance White 24""",4.227428578,Roland,43.016666666666666,145.68511780989232,Wednesday,4109.489912
1 up_Cedar Specialist Van Mags Need 2 18x30  3-3-2020_MAG24.eps,2024-03-08,0 days 00:17:00,2880.0,120.0,60.0,1080.0,0.625,"Magnet 24""",1.920533333,Roland,17.0,14.4039999975,Friday,1800.0
1-22x28 Poster Cards Checking  5-30-24_RUB36.eps,2024-05-30,0 days 00:05:01,1349.0,37.47,22.47204724,629.2173228,0.5335675887323943,"Roll-up Banner 36""",0.4659502995,Roland,5.016666666666667,2.0360000000642238,Thursday,719.7826772
1) 2x - Gateway Disposal Large Rear & Front Loaders 103 and 303 4 1 24_HPW54.eps,2024-04-04,0 days 00:53:01,12823.0,237.46,207.4582677,10021.3778,0.2184841456757389,"High Performance White 54""",0.4399442958,Roland,53.016666666666666,30.616999994213565,Thursday,2801.6222
1) mags 80  5-16_MAG24.eps,2024-05-16,0 days 00:19:59,5280.0,110.0,80.0,1865.543307,0.6466774039772727,"Magnet 24""",0.5251960629,Roland,19.983333333333334,6.804000000040597,Thursday,3414.456693
1) Mccarthy 20 ft lock box containers 3 20 24_HPW54 .eps,2024-03-20,0 days 00:38:58,7879.0,145.9,115.9027559,6014.029732,0.2367013920548293,"High Performance White 54""",0.6592983701,Roland,38.96666666666667,27.535000000281528,Wednesday,1864.970268
1) Mccarthy 20 ft lock box containers 5 3 24_HPW54 .eps,2024-05-02,0 days 00:35:59,7879.0,145.9,115.9027559,6014.029732,0.2367013920548293,"High Performance White 54""",0.6592983701,Roland,35.983333333333334,27.535000000281528,Thursday,1864.970268
1) Mccarthy 20 ft lock box containers 6 19 24_HPW54 .eps,2024-06-20,0 days 02:05:50,27203.0,568.61,463.6110236,24056.11893,0.11568139800757267,"High Performance White 54""",2.63719348,Roland,125.83333333333333,440.55999997430956,Thursday,3146.8810699999995
1) McCarthy Dumpsters x 6 - SIDES  3-2-24_HPW54.eps,2024-02-07,0 days 03:59:02,56511.0,1046.5,866.4992126,33997.813,0.3983859248641857,"High Performance White 54""",6.224554738,Roland,239.03333333333333,1469.5919999360278,Wednesday,22513.186999999998
1) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_HPW54_HPW54.eps,2024-04-19,0 days 00:06:56,3181.0,58.9,28.90275591,1322.301083,0.5843127686262182,"High Performance White 54""",0.08320041588,Roland,6.933333333333334,0.7640000001678778,Friday,1858.698917
1) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_Redo_HPW54.eps,2024-04-30,0 days 00:30:58,5795.0,120.74,90.73582677,5048.4128,0.12883299396031062,"High Performance White 54""",0.08702616395,Roland,30.966666666666665,3.051000000139434,Tuesday,746.5871999999999
1) Parsons Blewett 2024 WALL  NEW FINAL  5-15-24_HPW48.eps,2024-05-16,0 days 00:24:03,6156.0,128.25,98.2496063,3583.364283,0.4179070365497076,"Water Damaged HP White 54"" to 48""",0.5138545386,Roland,24.05,12.787000001921422,Thursday,2572.635717
100 year banner SF 2 needed 4-29-24_BAN54.eps,2024-04-30,0 days 00:15:03,4618.62,85.53,70.52795276,2543.893275,0.44920922808111513,"Banner 54""",1.611237405,Roland,15.05,28.463999993110775,Tuesday,2074.726725
10x F'Caufe and Food Stickers 2x2 Round  800 of each - 4000 total decals 2-22-24_INT54.eps,2024-02-26,0 days 02:55:13,40788.0,755.33,590.3318898,30647.98647,0.2486028618711386,"Intermediate White 54""",7.107639786,Roland,175.21666666666667,1512.7419999650117,Monday,10140.01353
10x10 Decals FOD Need 30 4-10-24_CAR54.eps,2024-04-11,0 days 00:25:58,5156.0,95.47,65.47244094,3746.467109,0.2733772092707525,"Cardinal 54""",0.7880576325,Roland,25.966666666666665,20.503000001094858,Thursday,1409.5328909999998
10x10 Decals FOD Need 30 4-10-24_FIX_CAR54.eps,2024-04-16,0 days 00:24:03,5708.0,105.71,75.70826772,3339.569186,0.4149318174491941,"Cardinal 54""",0.7072864399,Roland,24.05,16.40300000253945,Tuesday,2368.430814
10x16 CORP-Security Decals Final 5-2-24_EDW54.eps,2024-05-03,0 days 00:14:01,3531.0,65.39,35.38897638,1570.866504,0.5551213525913339,"Ez Dot (White) 54""",0.4970301411,Roland,14.016666666666667,5.422000000919332,Friday,1960.133496
10x7 caution this euipment need 5  3-19-24_HPW30.eps,2024-03-19,0 days 00:08:01,1562.0,52.07,22.06889764,504.2048027,0.6772056320742638,"High Performance White 30""",0.8625066594,Roland,8.016666666666667,3.0200000002098135,Tuesday,1057.7951973
12.5x20.5 Decal  6-3-24_HPW30.eps,2024-06-14,0 days 00:05:01,1325.0,44.18,14.18070866,308.229427,0.7673740173584905,"High Performance White 30""",0.248074951,Roland,5.016666666666667,0.5309999999984936,Friday,1016.770573
12x18 Clement Ford Parking CUSTOMER FIX 4-5-24_HPW24.eps,2024-04-05,0 days 00:07:01,1272.0,53.01,23.01338583,529.6249876,0.5836281544025157,"High Performance White 24""",0.456504141,Roland,7.016666666666667,1.6790000001144005,Friday,742.3750124
12x18 FACP Decal 7-17-24_RFVW30.eps,2024-07-18,0 days 00:04:59,1309.0,43.64,13.63897638,261.411924,0.8002964675324675,"Reflective White Vinyl 30""",0.7711966497,Roland,4.983333333333333,1.3999999998641044,Thursday,1047.588076
12x18 Mags 5-20-24_MAG24.eps,2024-05-21,0 days 00:19:01,3060.0,127.5,97.5,1901.211614,0.3786890150326797,"Magnet 24""",0.5897965232,Roland,19.016666666666666,7.786999998643475,Tuesday,1158.788386
12x20 Mag CDS  FINAL NEW  7-9-24_MAG24.eps,2024-07-10,0 days 00:11:03,1919.0,79.97,49.97244094,1074.40748,0.44012116727462214,"Magnet 24""",0.2278465149,Roland,11.05,1.6999999993089683,Wednesday,844.5925199999999
12x23.5 Rest in Heaven Mag 9-03-24_MAG24.eps,2024-09-03,0 days 00:04:05,997.0,41.56,11.55905512,271.6377953,0.727544839217653,"Magnet 24""",0.8646219491,Roland,4.083333333333333,1.6310000001493945,Tuesday,725.3622047
12x24 Keeley Mags  3-13-23_MAG24.eps,2024-09-16,0 days 00:06:02,1297.0,54.03,24.02716535,535.2665951,0.5873040901310717,"Magnet 24""",0.246695761,Roland,6.033333333333333,0.9170000001116207,Monday,761.7334049
12x24 mag 1 color blue on white 9-25-24_MAG24.eps,2024-09-30,0 days 00:04:58,1008.0,42.01,12.01338583,264.2897585,0.7378077792658729,"Magnet 24""",0.2784216854,Roland,4.966666666666667,0.5109999999689513,Monday,743.7102414999999
14x14 ESD Mags 5-3-24_MAG24.eps,2024-05-06,0 days 00:09:58,3158.0,58.47,28.47244094,425.8983942,0.8651366706143129,"Magnet 24""",0.8699539727,Roland,9.966666666666667,2.5730000000058375,Monday,2732.1016058
16x108 Decal New Equip.  6-20-24_HPW36.eps,2024-06-24,0 days 00:30:00,5029.0,139.71,109.7082677,3673.672048,0.269502476038974,"High Performance White 36""",0.3337303885,Roland,30.0,8.513999998615489,Monday,1355.327952
16x108 Decal New Equip.  6-20-24_v2_HPW36.eps,2024-06-24,0 days 00:28:00,5029.0,139.71,109.7082677,3673.672048,0.269502476038974,"High Performance White 36""",0.3338087842,Roland,28.0,8.515999999252806,Monday,1355.327952
18x18 WWT Fedex-UPS Mags 4-2-24_MAG24.eps,2024-04-02,0 days 00:12:59,2016.0,84.01,54.01377953,972.9923159,0.5173649226686508,"Magnet 24""",0.4188316735,Roland,12.983333333333333,2.8299999997988725,Tuesday,1043.0076841
18x46 CHEERS Banner 9-20-24_BAN63.eps,2024-09-23,0 days 00:06:02,2079.6299999999997,33.01,18.01377953,828.8820796,0.6014281003832412,"Banner 63""",0.7642293344,Roland,6.033333333333333,4.398999999922193,Monday,1250.7479203999997
1A_Clement Ford Windows_PERF60.eps,2024-04-25,0 days 01:19:03,9170.4,152.84,122.8409449,6556.611252,0.28502450798220363,"Perforated 60""",1.708056022,Roland,79.05,77.7712453673025,Thursday,2613.788748
1B_Clement Ford Windows_PERF60.eps,2024-04-26,0 days 01:07:58,7588.2,126.47,111.4720472,6061.270626,0.20122418676365927,"Perforated 60""",0.8279927279,Roland,67.96666666666667,34.852000001124175,Friday,1526.9293739999994
2) mags 80  5-16_MAG24.eps,2024-05-16,0 days 00:21:58,2880.0,120.0,90.0,2098.73622,0.2712721458333334,"Magnet 24""",0.6753549999,Roland,21.966666666666665,9.842999997557127,Thursday,781.2637800000002
2) Mccarthy 20 ft lock box containers 3 20 24_HPW54 .eps,2024-03-20,0 days 02:16:05,30124.0,598.89,493.8897638,21840.81647,0.2749695767494356,"High Performance White 54""",3.278224699,Roland,136.08333333333334,497.2159999880555,Wednesday,8283.183529999998
2) Mccarthy 20 ft lock box containers 5 3 24_HPW54 .eps,2024-05-02,0 days 01:10:01,16575.0,306.94,246.9448819,10920.40823,0.3411518413273002,"High Performance White 54""",1.63911235,Roland,70.01666666666667,124.30399997801833,Thursday,5654.591770000001
2) Mccarthy 20 ft lock box containers 6 19 24_HPW54 .eps,2024-06-20,0 days 03:18:02,49725.0,920.83,740.8346457,32761.2247,0.34115184112619407,"High Performance White 54""",4.917337049,Roland,198.03333333333333,1118.7359999161383,Thursday,16963.7753
2) McCarthy Dumpsters x 1 - SIDES  3-2-24_HPW54.eps,2024-02-07,0 days 00:23:04,6345.0,117.5,87.5,3487.839567,0.4503010926713948,"High Performance White 54""",0.607156367,Roland,23.066666666666666,14.70600000124009,Wednesday,2857.160433
2) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_HPW54.eps,2024-04-19,0 days 00:16:02,3008.0,81.39,51.38897638,2466.650634,0.1799698690159574,"High Performance White 54""",0.3694207795,Roland,16.033333333333335,6.327999999767009,Friday,541.3493659999999
