Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Length,Print Length,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq ft,Printer,Minutes of Print Time,Total Ink Used For Print,Day of Week,Empty Space
1 up 9 Square 18x24 Sign New Need 10 2024_HPW24.eps,4/9/2024,0 days 00:05:00,1337,55.71,25.70826772,494.5197844,0.630127312,"High Performance White 24""",1.142635781,Roland,5,3.924,Tuesday,842.4802156
1 up 9 Square 18x24 Sign New Need 10 7.24 2024_HPW24.eps,7/24/2024,0 days 00:43:01,9072,377.98,257.9826772,4962.510088,0.452986101,"High Performance White 24""",4.227428578,Roland,43.01666667,145.6851178,Wednesday,4109.489912
1 up_Cedar Specialist Van Mags Need 2 18x30  3-3-2020_MAG24.eps,3/8/2024,0 days 00:17:00,2880,120,60,1080,0.625,"Magnet 24""",1.920533333,Roland,17,14.404,Friday,1800
1-22x28 Poster Cards Checking  5-30-24_RUB36.eps,5/30/2024,0 days 00:05:01,1349,37.47,22.47204724,629.2173228,0.533567589,"Roll-up Banner 36""",0.4659503,Roland,5.016666667,2.036,Thursday,719.7826772
1) 2x - Gateway Disposal Large Rear & Front Loaders 103 and 303 4 1 24_HPW54.eps,4/4/2024,0 days 00:53:01,12823,237.46,207.4582677,10021.3778,0.218484146,"High Performance White 54""",0.439944296,Roland,53.01666667,30.61699999,Thursday,2801.6222
1) mags 80  5-16_MAG24.eps,5/16/2024,0 days 00:19:59,5280,110,80,1865.543307,0.646677404,"Magnet 24""",0.525196063,Roland,19.98333333,6.804,Thursday,3414.456693
1) Mccarthy 20 ft lock box containers 3 20 24_HPW54 .eps,3/20/2024,0 days 00:38:58,7879,145.9,115.9027559,6014.029732,0.236701392,"High Performance White 54""",0.65929837,Roland,38.96666667,27.535,Wednesday,1864.970268
1) Mccarthy 20 ft lock box containers 5 3 24_HPW54 .eps,5/2/2024,0 days 00:35:59,7879,145.9,115.9027559,6014.029732,0.236701392,"High Performance White 54""",0.65929837,Roland,35.98333333,27.535,Thursday,1864.970268
1) Mccarthy 20 ft lock box containers 6 19 24_HPW54 .eps,6/20/2024,0 days 02:05:50,27203,568.61,463.6110236,24056.11893,0.115681398,"High Performance White 54""",2.63719348,Roland,125.8333333,440.56,Thursday,3146.88107
1) McCarthy Dumpsters x 6 - SIDES  3-2-24_HPW54.eps,2/7/2024,0 days 03:59:02,56511,1046.5,866.4992126,33997.813,0.398385925,"High Performance White 54""",6.224554738,Roland,239.0333333,1469.592,Wednesday,22513.187
1) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_HPW54_HPW54.eps,4/19/2024,0 days 00:06:56,3181,58.9,28.90275591,1322.301083,0.584312769,"High Performance White 54""",0.083200416,Roland,6.933333333,0.764,Friday,1858.698917
1) New Wall Lettering HP DECAL Print and Lam 3-6-24 OPTION #2_Redo_HPW54.eps,4/30/2024,0 days 00:30:58,5795,120.74,90.73582677,5048.4128,0.128832994,"High Performance White 54""",0.087026164,Roland,30.96666667,3.051,Tuesday,746.5872
1) Parsons Blewett 2024 WALL  NEW FINAL  5-15-24_HPW48.eps,5/16/2024,0 days 00:24:03,6156,128.25,98.2496063,3583.364283,0.417907037,"Water Damaged HP White 54"" to 48""",0.513854539,Roland,24.05,12.787,Thursday,2572.635717
100 year banner SF 2 needed 4-29-24_BAN54.eps,4/30/2024,0 days 00:15:03,4618.62,85.53,70.52795276,2543.893275,0.449209228,"Banner 54""",1.611237405,Roland,15.05,28.46399999,Tuesday,2074.726725
10x F'Caufe and Food Stickers 2x2 Round  800 of each - 4000 total decals 2-22-24_INT54.eps,2/26/2024,0 days 02:55:13,40788,755.33,590.3318898,30647.98647,0.248602862,"Intermediate White 54""",7.107639786,Roland,175.2166667,1512.742,Monday,10140.01353
10x10 Decals FOD Need 30 4-10-24_CAR54.eps,4/11/2024,0 days 00:25:58,5156,95.47,65.47244094,3746.467109,0.273377209,"Cardinal 54""",0.788057633,Roland,25.96666667,20.503,Thursday,1409.532891
10x10 Decals FOD Need 30 4-10-24_FIX_CAR54.eps,4/16/2024,0 days 00:24:03,5708,105.71,75.70826772,3339.569186,0.414931817,"Cardinal 54""",0.70728644,Roland,24.05,16.403,Tuesday,2368.430814
10x16 CORP-Security Decals Final 5-2-24_EDW54.eps,5/3/2024,0 days 00:14:01,3531,65.39,35.38897638,1570.866504,0.555121353,"Ez Dot (White) 54""",0.497030141,Roland,14.01666667,5.422000001,Friday,1960.133496
10x7 caution this euipment need 5  3-19-24_HPW30.eps,3/19/2024,0 days 00:08:01,1562,52.07,22.06889764,504.2048027,0.677205632,"High Performance White 30""",0.862506659,Roland,8.016666667,3.02,Tuesday,1057.795197
12.5x20.5 Decal  6-3-24_HPW30.eps,6/14/2024,0 days 00:05:01,1325,44.18,14.18070866,308.229427,0.767374017,"High Performance White 30""",0.248074951,Roland,5.016666667,0.531,Friday,1016.770573
12x18 Clement Ford Parking CUSTOMER FIX 4-5-24_HPW24.eps,4/5/2024,0 days 00:07:01,1272,53.01,23.01338583,529.6249876,0.583628154,"High Performance White 24""",0.456504141,Roland,7.016666667,1.679,Friday,742.3750124
12x18 FACP Decal 7-17-24_RFVW30.eps,7/18/2024,0 days 00:04:59,1309,43.64,13.63897638,261.411924,0.800296468,"Reflective White Vinyl 30""",0.77119665,Roland,4.983333333,1.4,Thursday,1047.588076
12x18 Mags 5-20-24_MAG24.eps,5/21/2024,0 days 00:19:01,3060,127.5,97.5,1901.211614,0.378689015,"Magnet 24""",0.589796523,Roland,19.01666667,7.786999999,Tuesday,1158.788386
12x20 Mag CDS  FINAL NEW  7-9-24_MAG24.eps,7/10/2024,0 days 00:11:03,1919,79.97,49.97244094,1074.40748,0.440121167,"Magnet 24""",0.227846515,Roland,11.05,1.699999999,Wednesday,844.59252
12x23.5 Rest in Heaven Mag 9-03-24_MAG24.eps,9/3/2024,0 days 00:04:05,997,41.56,11.55905512,271.6377953,0.727544839,"Magnet 24""",0.864621949,Roland,4.083333333,1.631,Tuesday,725.3622047
12x24 Keeley Mags  3-13-23_MAG24.eps,9/16/2024,0 days 00:06:02,1297,54.03,24.02716535,535.2665951,0.58730409,"Magnet 24""",0.246695761,Roland,6.033333333,0.917,Monday,761.7334049
